,,FM,FM,FM
,,COV,HR,MRR
fold,rank,,,
1,1,57.0,0.028328611898,0.0126630019335
1,5,439.0,0.0184135977337,0.00460508566033
1,10,793.0,0.0198300283286,0.00799496380233
1,15,1057.0,0.0184135977337,0.0081602140384
1,20,862.0,0.0212464589235,0.010552407932
1,30,893.0,0.0226628895184,0.0131508835829
1,50,918.0,0.0254957507082,0.0108413148073
1,75,916.0,0.0226628895184,0.0119688385269
1,100,889.0,0.0269121813031,0.0125646386978
1,125,908.0,0.0269121813031,0.0125236071766
1,150,911.0,0.0240793201133,0.0131784252889
1,175,917.0,0.0269121813031,0.0130738792212
1,200,907.0,0.0311614730878,0.0155981608885
1,300,905.0,0.0297450424929,0.0130204820361
1,500,933.0,0.0226628895184,0.0125961149332
1,750,935.0,0.0297450424929,0.0148112550025
1,1000,803.0,0.028328611898,0.0127866585728
1,1250,913.0,0.0254957507082,0.0128186968839
1,1500,784.0,0.0269121813031,0.0126096047484
1,1750,912.0,0.0212464589235,0.0108278249921
1,2000,914.0,0.0325779036827,0.0135089257611
1,2500,887.0,0.0269121813031,0.0134364180044
2,1,53.0,0.029702970297,0.00964672997912
2,5,416.0,0.024045261669,0.0110634022586
2,10,771.0,0.018387553041,0.0106160616062
2,15,1002.0,0.021216407355,0.00890247187984
2,20,880.0,0.022630834512,0.0134954311758
2,30,952.0,0.024045261669,0.013051458207
2,50,956.0,0.019801980198,0.0117279585101
2,75,980.0,0.01414427157,0.00958667295301
2,100,970.0,0.021216407355,0.0111504007544
2,125,949.0,0.019801980198,0.0107535753575
2,150,966.0,0.018387553041,0.00935093509351
2,175,934.0,0.021216407355,0.0117352551582
2,200,955.0,0.022630834512,0.0110577894524
2,300,939.0,0.022630834512,0.0123307738937
2,500,933.0,0.01414427157,0.00914831279046
2,750,944.0,0.022630834512,0.00995150535462
2,1000,928.0,0.025459688826,0.0124183336701
2,1250,927.0,0.019801980198,0.00999528524281
2,1500,911.0,0.025459688826,0.0114388989919
2,1750,847.0,0.025459688826,0.012806178577
2,2000,931.0,0.021216407355,0.0110617184167
2,2500,924.0,0.024045261669,0.0102994993377
3,1,62.0,0.0212464589235,0.00598217096092
3,5,458.0,0.0184135977337,0.01063503305
3,10,810.0,0.0269121813031,0.0125472143532
3,15,1013.0,0.0269121813031,0.0125865596475
3,20,862.0,0.0325779036827,0.0144076846981
3,30,921.0,0.0297450424929,0.0153660236521
3,50,946.0,0.0297450424929,0.0154739421737
3,75,939.0,0.028328611898,0.0171523000135
3,100,955.0,0.0297450424929,0.0169690633572
3,125,941.0,0.0382436260623,0.0170696748955
3,150,920.0,0.0297450424929,0.0154896802914
3,175,946.0,0.0297450424929,0.0180988353793
3,200,959.0,0.0339943342776,0.0165621205989
3,300,935.0,0.028328611898,0.0162299338999
3,500,944.0,0.0354107648725,0.0169145420208
3,750,931.0,0.0339943342776,0.0186395521381
3,1000,977.0,0.0311614730878,0.015739803948
3,1250,855.0,0.0325779036827,0.0165092854895
3,1500,955.0,0.0325779036827,0.0168926210711
3,1750,929.0,0.0311614730878,0.017410292729
3,2000,939.0,0.0297450424929,0.0156588650569
3,2500,923.0,0.028328611898,0.0154913665183
4,1,51.0,0.033946251768,0.0150827327631
4,5,446.0,0.02828854314,0.012510944972
4,10,788.0,0.025459688826,0.0127809209492
4,15,1001.0,0.032531824611,0.0148947037561
4,20,864.0,0.026874115983,0.0133798073685
4,30,897.0,0.032531824611,0.015041759278
4,50,888.0,0.041018387553,0.0166408477582
4,75,907.0,0.032531824611,0.0150024696347
4,100,912.0,0.029702970297,0.0139848678745
4,125,925.0,0.036775106082,0.0172655530859
4,150,909.0,0.029702970297,0.0169192429447
4,175,940.0,0.033946251768,0.0167980063312
4,200,923.0,0.033946251768,0.0160397162165
4,300,910.0,0.038189533239,0.0172560113154
4,500,913.0,0.031117397454,0.0136408028558
4,750,906.0,0.036775106082,0.0153223995869
4,1000,923.0,0.02828854314,0.0162580543769
4,1250,891.0,0.032531824611,0.0165347657215
4,1500,904.0,0.033946251768,0.0177998922341
4,1750,929.0,0.032531824611,0.0164129678274
4,2000,884.0,0.031117397454,0.0156451359422
4,2500,894.0,0.029702970297,0.0162322354684
5,1,45.0,0.0240793201133,0.00950750933046
5,5,339.0,0.0439093484419,0.0136797967535
5,10,521.0,0.042492917847,0.0141401366968
5,15,637.0,0.0623229461756,0.0184400152885
5,20,687.0,0.0495750708215,0.0166250730698
5,30,751.0,0.0524079320113,0.0169926705337
5,50,772.0,0.0509915014164,0.0191662170062
5,75,715.0,0.0538243626062,0.0215662799586
5,100,760.0,0.0509915014164,0.020216736364
5,125,767.0,0.0495750708215,0.0185209541796
5,150,772.0,0.0552407932011,0.0185164575745
5,175,779.0,0.0538243626062,0.019956495346
5,200,800.0,0.0580736543909,0.0183922388597
5,300,786.0,0.0552407932011,0.0191757722919
5,500,696.0,0.0509915014164,0.0188295337021
5,750,750.0,0.0594900849858,0.0218242726741
5,1000,779.0,0.0524079320113,0.0199356985476
5,1250,709.0,0.0538243626062,0.0182275506992
5,1500,747.0,0.0524079320113,0.0233845946311
5,1750,792.0,0.0524079320113,0.0194804172849
5,2000,763.0,0.056657223796,0.0209367552498
5,2500,761.0,0.0509915014164,0.0203089167678
