,,,,,,,HR,MRR,COV
"('sss', 0.01)","('r', 1e-10)","('rr', 0.1)","('r', 30)","('nsne', 30)","('lr', 0.001)","('mi', 40)",0.0098384482084,0.00240065057271,10
"('sss', 0.01)","('r', 1e-10)","('rr', 0.3)","('r', 100)","('nsne', 10)","('lr', 3e-08)","('mi', 40)",0.0124098608083,0.00254967360451,10
"('sss', 0.01)","('r', 3e-10)","('rr', 0.0003)","('r', 30)","('nsne', 100)","('lr', 0.001)","('mi', 40)",0.00234781150428,0.00136602966974,10
"('sss', 0.01)","('r', 3e-10)","('rr', 0.01)","('r', 100)","('nsne', 3)","('lr', 1e-08)","('mi', 40)",0.00866454245626,0.00257436289216,10
"('sss', 0.01)","('r', 1e-09)","('rr', 0.0003)","('r', 100)","('nsne', 1)","('lr', 0.001)","('mi', 40)",0.0276147353122,0.00881241199034,10
"('sss', 0.01)","('r', 1e-09)","('rr', 0.001)","('r', 10)","('nsne', 3)","('lr', 1e-08)","('mi', 40)",0.00771423779977,0.0028855410836,10
"('sss', 0.01)","('r', 3e-09)","('rr', 0.003)","('r', 10)","('nsne', 100)","('lr', 3e-07)","('mi', 40)",0.00201240986081,0.000811907113265,10
"('sss', 0.01)","('r', 1e-08)","('rr', 0.001)","('r', 300)","('nsne', 10)","('lr', 1e-06)","('mi', 40)",0.0103415506736,0.00321198093712,10
"('sss', 0.01)","('r', 1e-08)","('rr', 0.1)","('r', 30)","('nsne', 10)","('lr', 3e-09)","('mi', 40)",0.00967074738666,0.00301244801496,10
"('sss', 0.01)","('r', 3e-08)","('rr', 0.003)","('r', 100)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.0103415506736,0.00407728168503,10
"('sss', 0.01)","('r', 1e-07)","('rr', 0.0001)","('r', 100)","('nsne', 3)","('lr', 1e-07)","('mi', 40)",0.00916764492146,0.00280803491016,10
"('sss', 0.01)","('r', 1e-07)","('rr', 0.001)","('r', 10)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.00167700821734,0.000462330757484,10
"('sss', 0.01)","('r', 1e-07)","('rr', 0.001)","('r', 30)","('nsne', 100)","('lr', 3e-10)","('mi', 40)",0.00122980602605,0.000336488593239,10
"('sss', 0.01)","('r', 1e-07)","('rr', 0.001)","('r', 300)","('nsne', 3)","('lr', 0.001)","('mi', 40)",0.0300743473643,0.00943889434582,10
"('sss', 0.01)","('r', 3e-07)","('rr', 0.01)","('r', 100)","('nsne', 3)","('lr', 1e-05)","('mi', 40)",0.00872044273017,0.00307120985052,10
"('sss', 0.01)","('r', 1e-06)","('rr', 0.3)","('r', 10)","('nsne', 1)","('lr', 3e-08)","('mi', 40)",0.00827324053888,0.00239927524851,10
"('sss', 0.01)","('r', 1e-06)","('rr', 0.3)","('r', 30)","('nsne', 1)","('lr', 1e-10)","('mi', 40)",0.00827324053888,0.00243558824391,10
"('sss', 0.01)","('r', 3e-06)","('rr', 0.0003)","('r', 10)","('nsne', 30)","('lr', 3e-06)","('mi', 40)",0.00178880876516,0.000638194793821,10
"('sss', 0.01)","('r', 3e-06)","('rr', 0.001)","('r', 300)","('nsne', 1)","('lr', 0.0003)","('mi', 40)",0.0199563977863,0.00608037483352,10
"('sss', 0.01)","('r', 1e-05)","('rr', 0.0003)","('r', 300)","('nsne', 100)","('lr', 3e-08)","('mi', 40)",0.00156520766952,0.000530875140971,10
"('sss', 0.01)","('r', 1e-05)","('rr', 0.001)","('r', 30)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.012633461904,0.0031814797956,10
"('sss', 0.01)","('r', 1e-05)","('rr', 0.003)","('r', 30)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.00156520766952,0.000472179853364,10
"('sss', 0.01)","('r', 1e-05)","('rr', 0.01)","('r', 100)","('nsne', 1)","('lr', 1e-08)","('mi', 40)",0.00827324053888,0.00243931492883,10
"('sss', 0.01)","('r', 1e-05)","('rr', 0.01)","('r', 300)","('nsne', 100)","('lr', 0.0003)","('mi', 40)",0.00290681424339,0.000624641195662,10
"('sss', 0.01)","('r', 1e-05)","('rr', 0.3)","('r', 10)","('nsne', 3)","('lr', 3e-07)","('mi', 40)",0.00832914081279,0.00271504524817,10
"('sss', 0.01)","('r', 3e-05)","('rr', 0.001)","('r', 10)","('nsne', 3)","('lr', 3e-06)","('mi', 40)",0.00849684163452,0.00308119204229,10
"('sss', 0.01)","('r', 3e-05)","('rr', 0.001)","('r', 30)","('nsne', 10)","('lr', 3e-06)","('mi', 40)",0.00989434848231,0.00291508837123,10
"('sss', 0.01)","('r', 3e-05)","('rr', 0.1)","('r', 30)","('nsne', 3)","('lr', 1e-08)","('mi', 40)",0.00855274190844,0.0027296414308,10
"('sss', 0.01)","('r', 3e-05)","('rr', 0.1)","('r', 100)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.00145340712169,0.000358693424264,10
"('sss', 0.01)","('r', 3e-05)","('rr', 0.3)","('r', 10)","('nsne', 10)","('lr', 0.0003)","('mi', 40)",0.0262172284644,0.00914697069317,11
"('sss', 0.01)","('r', 3e-05)","('rr', 0.3)","('r', 100)","('nsne', 3)","('lr', 1e-09)","('mi', 40)",0.00855274190844,0.0026380714583,10
