,,,,,,,HR,MRR,COV
"('sss', 0.01)","('r', 1e-10)","('rr', 0.1)","('r', 30)","('nsne', 30)","('lr', 0.001)","('mi', 40)",0.0410764872521,0.0115298574576,11
"('sss', 0.01)","('r', 1e-10)","('rr', 0.3)","('r', 100)","('nsne', 10)","('lr', 3e-08)","('mi', 40)",0.042492917847,0.0120924951661,12
"('sss', 0.01)","('r', 3e-10)","('rr', 0.0003)","('r', 30)","('nsne', 100)","('lr', 0.001)","('mi', 40)",0.0042492917847,0.00217186024551,13
"('sss', 0.01)","('r', 3e-10)","('rr', 0.01)","('r', 100)","('nsne', 3)","('lr', 1e-08)","('mi', 40)",0.0439093484419,0.0124229956383,21
"('sss', 0.01)","('r', 1e-09)","('rr', 0.0003)","('r', 100)","('nsne', 1)","('lr', 0.001)","('mi', 40)",0.0524079320113,0.0169966050632,83
"('sss', 0.01)","('r', 1e-09)","('rr', 0.001)","('r', 10)","('nsne', 3)","('lr', 1e-08)","('mi', 40)",0.0538243626062,0.0184816088853,36
"('sss', 0.01)","('r', 3e-09)","('rr', 0.003)","('r', 10)","('nsne', 100)","('lr', 3e-07)","('mi', 40)",0.0,0.0,10
"('sss', 0.01)","('r', 1e-08)","('rr', 0.001)","('r', 300)","('nsne', 10)","('lr', 1e-06)","('mi', 40)",0.0453257790368,0.0123521741085,11
"('sss', 0.01)","('r', 1e-08)","('rr', 0.1)","('r', 30)","('nsne', 10)","('lr', 3e-09)","('mi', 40)",0.0467422096317,0.0135634470974,31
"('sss', 0.01)","('r', 3e-08)","('rr', 0.003)","('r', 100)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.0368271954674,0.0114314942219,14
"('sss', 0.01)","('r', 1e-07)","('rr', 0.0001)","('r', 100)","('nsne', 3)","('lr', 1e-07)","('mi', 40)",0.056657223796,0.0195917082603,41
"('sss', 0.01)","('r', 1e-07)","('rr', 0.001)","('r', 10)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.0056657223796,0.00171152030217,38
"('sss', 0.01)","('r', 1e-07)","('rr', 0.001)","('r', 30)","('nsne', 100)","('lr', 3e-10)","('mi', 40)",0.0,0.0,12
"('sss', 0.01)","('r', 1e-07)","('rr', 0.001)","('r', 300)","('nsne', 3)","('lr', 0.001)","('mi', 40)",0.0509915014164,0.0157729664104,64
"('sss', 0.01)","('r', 3e-07)","('rr', 0.01)","('r', 100)","('nsne', 3)","('lr', 1e-05)","('mi', 40)",0.0509915014164,0.0174766176537,36
"('sss', 0.01)","('r', 1e-06)","('rr', 0.3)","('r', 10)","('nsne', 1)","('lr', 3e-08)","('mi', 40)",0.0410764872521,0.0165109717164,29
"('sss', 0.01)","('r', 1e-06)","('rr', 0.3)","('r', 30)","('nsne', 1)","('lr', 1e-10)","('mi', 40)",0.0368271954674,0.0133655964747,25
"('sss', 0.01)","('r', 3e-06)","('rr', 0.0003)","('r', 10)","('nsne', 30)","('lr', 3e-06)","('mi', 40)",0.0127478753541,0.00386708035433,29
"('sss', 0.01)","('r', 3e-06)","('rr', 0.001)","('r', 300)","('nsne', 1)","('lr', 0.0003)","('mi', 40)",0.0594900849858,0.0198744323036,88
"('sss', 0.01)","('r', 1e-05)","('rr', 0.0003)","('r', 300)","('nsne', 100)","('lr', 3e-08)","('mi', 40)",0.0028328611898,0.000991501416431,10
