,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
1,1,30.0,0.0211409395973,0.00625153137318,30.0,0.0190156599553,0.00540335037818,30.0,0.0190156599553,0.00540335037818,30.0,0.0194071588367,0.00616732804233
1,5,93.0,0.0425055928412,0.0160677000107,93.0,0.0374161073826,0.0143022930649,93.0,0.0361856823266,0.0126621701999,101.0,0.0426733780761,0.0159913310962
1,10,153.0,0.0507829977629,0.0196529775221,164.0,0.0497762863535,0.0196662050353,162.0,0.0492729306488,0.0195100937467,132.0,0.0464765100671,0.0179337780974
1,15,181.0,0.0508389261745,0.0197918886048,232.0,0.0520134228188,0.0215189446398,235.0,0.05274049217,0.0217783237456,148.0,0.0484899328859,0.0196753488868
1,20,197.0,0.05274049217,0.0220608731934,264.0,0.0556487695749,0.0227031399808,282.0,0.05548098434,0.0229337559036,155.0,0.0495525727069,0.0210855882248
1,30,213.0,0.056096196868,0.0239491894819,338.0,0.0586689038031,0.0257958479813,355.0,0.0569351230425,0.025759339157,182.0,0.052293064877,0.0222528496857
1,50,245.0,0.0548657718121,0.0247931314584,388.0,0.0615212527964,0.0292439677213,478.0,0.0640939597315,0.0305449913,229.0,0.0545302013423,0.0244783565925
1,75,300.0,0.0564876957494,0.0269715874791,476.0,0.0639821029083,0.0313401068854,569.0,0.0668903803132,0.0330963477859,284.0,0.0585570469799,0.0276028905224
1,100,366.0,0.0616890380313,0.0290461098683,555.0,0.0676733780761,0.032305715351,707.0,0.0718680089485,0.0345643798161,358.0,0.0616331096197,0.0295659555769
1,125,440.0,0.0637024608501,0.0298773125954,661.0,0.0700223713647,0.0329019743617,822.0,0.0741610738255,0.035619384965,419.0,0.0634787472036,0.030416267178
1,150,507.0,0.0629753914989,0.03019894535,747.0,0.0715324384787,0.0338066164199,942.0,0.0752237136465,0.0355002707645,481.0,0.063255033557,0.0310138578175
1,200,648.0,0.0668344519016,0.0304087212812,900.0,0.0713087248322,0.0333424993786,1134.0,0.0750559284116,0.0359005362025,635.0,0.0664429530201,0.0319974210788
1,300,877.0,0.0670022371365,0.0305846516459,1200.0,0.0708612975391,0.0331696761479,1515.0,0.0743288590604,0.0350023081567,855.0,0.0700782997763,0.0333555049537
1,500,1375.0,0.067841163311,0.0301692722204,1768.0,0.0698545861298,0.0314236665956,2196.0,0.0717561521253,0.032726043997,1371.0,0.0726510067114,0.0337556594226
1,750,1962.0,0.0664988814318,0.0294415592486,2415.0,0.066163310962,0.0296269219843,3049.0,0.0681767337808,0.0305940174355,1930.0,0.0732662192394,0.0331461285111
1,1000,2476.0,0.0649888143177,0.0284463220411,3023.0,0.0635346756152,0.0275008877526,3822.0,0.0640939597315,0.028531124605,2403.0,0.0720917225951,0.0318168078193
1,1250,3022.0,0.0629194630872,0.0267102997053,3619.0,0.0609060402685,0.0258792079472,4534.0,0.0611856823266,0.0269415592486,2943.0,0.070581655481,0.0300011096907
1,1500,3658.0,0.0622483221477,0.0260162991371,4258.0,0.0591722595078,0.0250732395867,5197.0,0.0573825503356,0.0249737003302,3555.0,0.0690715883669,0.0296373974646
1,1750,4221.0,0.0593959731544,0.0252098869003,4868.0,0.0555369127517,0.0238962350414,5988.0,0.0539149888143,0.0235704298498,4141.0,0.0681208053691,0.0287495783175
1,2000,4768.0,0.0576621923937,0.0244574278257,5519.0,0.0537472035794,0.0228558778097,6901.0,0.051062639821,0.0225410141685,4679.0,0.0665548098434,0.0279047929761
1,2500,5815.0,0.0548098434004,0.023236768048,6831.0,0.0490492170022,0.0211816874401,8836.0,0.04725950783,0.0208191070985,5623.0,0.0635346756152,0.0265741406555
1,3200,7508.0,0.0508389261745,0.0216986923405,8922.0,0.0467002237136,0.0198107755406,12159.0,0.0427293064877,0.0189981934235,7131.0,0.0606263982103,0.0248299066084
2,1,30.0,0.0202494825754,0.00633799659223,30.0,0.0198579179952,0.00569531125833,30.0,0.0198579179952,0.00569531125833,30.0,0.0203613581697,0.00627162595194
2,5,89.0,0.0417295966885,0.0139305314712,102.0,0.0401074005706,0.0138947712366,101.0,0.0392123958159,0.0129055601282,109.0,0.0432399172121,0.0146671789859
2,10,158.0,0.0500083906696,0.0186067093392,164.0,0.04782681658,0.0182155665123,165.0,0.0453096157073,0.0169985420657,139.0,0.0447502377356,0.0170710170291
2,15,203.0,0.054091849863,0.0211857747518,222.0,0.0498405772781,0.0194250437957,234.0,0.0490574481177,0.0196895940603,140.0,0.0474911897969,0.0192310817038
2,20,210.0,0.0538680986743,0.0217020007085,274.0,0.0562734239526,0.0229355179263,287.0,0.0564971751412,0.0223857514888,158.0,0.0492811993064,0.0207829116245
2,30,219.0,0.0543156010516,0.0237883029627,342.0,0.0575040554903,0.0255882347718,370.0,0.059070313811,0.0259098327105,174.0,0.0503999552498,0.0222150968123
2,50,245.0,0.0548749790233,0.0250898556361,396.0,0.0614197012922,0.0282456796931,464.0,0.0626503328299,0.029149430278,226.0,0.0531409073111,0.0240990241074
2,75,311.0,0.0556581081837,0.0264106535754,478.0,0.0638809643676,0.0297427704837,591.0,0.0669575432119,0.0312842341538,287.0,0.0554902947922,0.0262229511894
2,100,353.0,0.0567768641271,0.0275545149349,575.0,0.0671253566035,0.0317353103349,744.0,0.0711528779997,0.0335949313253,356.0,0.0593500027969,0.0284564675192
2,125,426.0,0.061028136712,0.0290148909968,661.0,0.0695306818817,0.0324771076785,854.0,0.0722716339431,0.0344693145666,410.0,0.0609162611176,0.0288609510669
2,150,504.0,0.062035017061,0.0288707845764,761.0,0.0700900598534,0.0336499812209,963.0,0.0750125860044,0.0352096468727,490.0,0.0627062706271,0.0295792634146
2,200,625.0,0.0655590982827,0.0299370433411,901.0,0.0708172512166,0.0329349763063,1154.0,0.0744532080327,0.0361736193797,627.0,0.0655590982827,0.0313120920647
2,300,879.0,0.0684119259384,0.0301709166074,1229.0,0.0704256866365,0.0323217693036,1515.0,0.0733344520893,0.0344037874328,884.0,0.0692509928959,0.0327015691884
2,500,1366.0,0.0660066006601,0.0293560671644,1768.0,0.0690831795044,0.0305967319896,2223.0,0.0713766291883,0.0325646991656,1347.0,0.0711528779997,0.0326489832195
2,750,1943.0,0.0652794092969,0.0288937146338,2385.0,0.0638250265705,0.0280509850824,3053.0,0.0638250265705,0.0288806402836,1911.0,0.0732225764949,0.032952024016
2,1000,2497.0,0.0618112658723,0.0277411296416,3025.0,0.0599093807686,0.026515448155,3828.0,0.0600771941601,0.026999576471,2479.0,0.0716563181742,0.0318279406633
2,1250,3114.0,0.0586787492309,0.0262838834327,3708.0,0.0559937349667,0.0256445055321,4538.0,0.0559937349667,0.0257648161911,3026.0,0.0690272417072,0.0304031694533
2,1500,3705.0,0.0586228114337,0.0257582901147,4329.0,0.0542037254573,0.0238265271241,5241.0,0.0534765340941,0.0240450396936,3591.0,0.067964423561,0.0292194413146
2,1750,4296.0,0.0562174861554,0.024686837126,4951.0,0.0518543379762,0.02280093425,5949.0,0.0514068355988,0.0230382703323,4168.0,0.0665100408346,0.0283062345783
2,2000,4852.0,0.0553784191979,0.0240661273553,5538.0,0.0500083906696,0.0223443086843,6853.0,0.0487777591318,0.0215907466453,4718.0,0.0658947250657,0.0276793760893
2,2500,5886.0,0.0530290317167,0.0230594689816,6817.0,0.0470996252168,0.0211603141751,8862.0,0.0449739889243,0.0207661524829,5668.0,0.0627062706271,0.0263353817222
2,3200,7464.0,0.0489455725234,0.0215915457567,8932.0,0.0432399172121,0.0194539005959,12184.0,0.0402192761649,0.0191899940599,7139.0,0.0599653185658,0.0251605104013
3,1,30.0,0.0190897385658,0.00518167818733,30.0,0.0184739405475,0.00499676106237,29.0,0.0184739405475,0.00467115674948,30.0,0.0208811509825,0.00544712445429
3,5,89.0,0.0409225773946,0.0140982202282,85.0,0.0377316240273,0.0138126250146,87.0,0.037059844371,0.0134790233248,101.0,0.041762301965,0.0159548779112
3,10,159.0,0.0487600067178,0.0185110617051,159.0,0.0478643005094,0.019077542566,164.0,0.0469685943011,0.0187528490655,133.0,0.0437216592958,0.0175177430692
3,15,197.0,0.0514471253429,0.0213892287774,229.0,0.0512791804288,0.0210597590657,241.0,0.0510552538767,0.0212385448684,134.0,0.0471365392151,0.0190321796673
3,20,210.0,0.0511672171528,0.0222838908838,269.0,0.0525107764653,0.0216267508702,293.0,0.0522868499132,0.0213739226867,153.0,0.0484800985277,0.0205023641135
3,30,221.0,0.0525667581033,0.0227670213059,321.0,0.0555897665566,0.02397871276,358.0,0.0585008117338,0.0253067216175,172.0,0.0504954374965,0.0216647161953
3,50,238.0,0.051615070257,0.0231942589497,398.0,0.0589486648379,0.0271199046713,459.0,0.0620836365672,0.0285869790264,220.0,0.0525107764653,0.0221719498227
3,75,303.0,0.054246207244,0.0257920291033,468.0,0.0630913060516,0.0293367108922,587.0,0.0678497452835,0.0317825086705,273.0,0.0558136931087,0.0254640255774
3,100,363.0,0.0578290320775,0.0275632481435,576.0,0.0668980574372,0.0310506376131,714.0,0.0694172311482,0.0326782370938,356.0,0.0579409953535,0.0267942337136
3,125,440.0,0.0621396182052,0.0281671611711,667.0,0.068913396406,0.0320117668072,837.0,0.071376588479,0.0336647801743,419.0,0.0611879303588,0.0282821678934
3,150,518.0,0.0646028102782,0.0288703083166,749.0,0.0703689189946,0.0322654391582,949.0,0.0724962212394,0.0338375901593,485.0,0.0633152326037,0.0288551355156
3,200,644.0,0.0657784246767,0.0294243488136,913.0,0.0730560376197,0.0331711643026,1158.0,0.0755752113307,0.0341306051615,621.0,0.066618149247,0.0300774457089
3,300,896.0,0.0684095616638,0.0315421652809,1224.0,0.07389576219,0.0333031654506,1514.0,0.0751273582265,0.0349282768585,863.0,0.071432570117,0.0329982432429
3,500,1395.0,0.0666741308851,0.0310135608854,1759.0,0.0695851760623,0.0321348375511,2235.0,0.0717124783071,0.0329493703843,1362.0,0.071432570117,0.0336985913065
3,750,1966.0,0.0654425348486,0.0292087306475,2412.0,0.0652186082965,0.028389421603,3085.0,0.0652745899345,0.0298309487821,1930.0,0.071432570117,0.0324123020982
3,1000,2507.0,0.0625874713094,0.0274360232066,3034.0,0.061523820187,0.0261278078568,3928.0,0.0608520405307,0.0271311898586,2447.0,0.0704249006326,0.0311058195134
3,1250,3102.0,0.0620276549292,0.0259721700171,3711.0,0.0576051055254,0.0244380954158,4603.0,0.0578850137155,0.0253567496528,3000.0,0.0685215249398,0.0294960141962
3,1500,3676.0,0.0594524995801,0.0247908241652,4335.0,0.0551419134524,0.0229151504973,5327.0,0.0547500419862,0.0237606953808,3556.0,0.0668420757991,0.0288640881346
3,1750,4234.0,0.0573811789733,0.0238810114727,4947.0,0.0521748866372,0.0218544983912,6044.0,0.0515590886189,0.0223474478149,4127.0,0.0666741308851,0.0278252510954
3,2000,4783.0,0.0549179869003,0.023177575533,5536.0,0.0495437496501,0.0210507398018,6904.0,0.0490399149079,0.0216434565018,4672.0,0.0656664614007,0.0271061314111
