,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
1,1,20.0,0.0339943342776,0.0167965061379,20.0,0.0382436260623,0.0171073339629,20.0,0.0382436260623,0.016843720491,20.0,0.0382436260623,0.0141525023607
1,5,150.0,0.042492917847,0.016473312649,148.0,0.0439093484419,0.0170668645173,145.0,0.0467422096317,0.0180752282027,158.0,0.0439093484419,0.0145869868249
1,10,174.0,0.0453257790368,0.0199435676065,177.0,0.0495750708215,0.0196501641261,173.0,0.0509915014164,0.0206905661226,178.0,0.042492917847,0.0195029003103
1,15,203.0,0.0481586402266,0.0192926840236,200.0,0.0467422096317,0.0199570574216,194.0,0.0495750708215,0.0208097261568,203.0,0.0481586402266,0.0204084041549
1,20,231.0,0.0439093484419,0.0183287243131,221.0,0.0495750708215,0.0204297630289,230.0,0.0524079320113,0.0210429875444,228.0,0.0439093484419,0.0178071181258
1,30,259.0,0.0524079320113,0.0238055892801,268.0,0.0538243626062,0.0222312154323,264.0,0.0538243626062,0.0220659651963,265.0,0.0509915014164,0.0231957372184
1,50,294.0,0.0538243626062,0.0216534016817,296.0,0.0524079320113,0.0218602455146,308.0,0.0524079320113,0.0224847115428,282.0,0.0538243626062,0.0212756868564
1,75,324.0,0.0538243626062,0.0241040514412,330.0,0.0524079320113,0.0230243041504,338.0,0.0552407932011,0.02326374837,324.0,0.0552407932011,0.0242024146769
1,100,349.0,0.0524079320113,0.0227938531409,363.0,0.0509915014164,0.0219507396915,376.0,0.0509915014164,0.0224065830298,338.0,0.0538243626062,0.0231063671928
1,125,358.0,0.0481586402266,0.021521313908,383.0,0.0524079320113,0.0235717658168,406.0,0.0481586402266,0.0242327667611,355.0,0.0509915014164,0.0216612707406
1,150,369.0,0.0538243626062,0.0223436305589,389.0,0.0495750708215,0.0240708889788,418.0,0.0509915014164,0.0253456765142,374.0,0.0495750708215,0.0212891766716
1,200,399.0,0.0538243626062,0.0215898871352,416.0,0.0509915014164,0.0237162192545,439.0,0.0481586402266,0.0224599802149,392.0,0.0524079320113,0.0223458788615
1,300,433.0,0.0495750708215,0.0270200998246,461.0,0.0495750708215,0.0260308467107,490.0,0.0509915014164,0.0258616619452,428.0,0.0481586402266,0.0261921624174
1,500,517.0,0.0524079320113,0.0240748235083,568.0,0.0509915014164,0.0234947614551,609.0,0.0509915014164,0.0245975538468,511.0,0.0538243626062,0.0241085480462
1,750,641.0,0.0552407932011,0.0243406852826,663.0,0.0524079320113,0.0232052925042,701.0,0.0552407932011,0.0229787760241,625.0,0.0580736543909,0.0247892216377
1,1000,746.0,0.0509915014164,0.0225105670219,762.0,0.0538243626062,0.0229484239399,802.0,0.0538243626062,0.0226263546023,744.0,0.0509915014164,0.022447614551
1,1250,837.0,0.0538243626062,0.0234936373038,850.0,0.0538243626062,0.0234778991861,869.0,0.0552407932011,0.0236881154728,831.0,0.0538243626062,0.0234683439004
1,1500,926.0,0.0495750708215,0.0230715185035,927.0,0.0538243626062,0.0234121363371,941.0,0.0509915014164,0.0232508206304,918.0,0.0509915014164,0.0232603759162
2,1,20.0,0.029702970297,0.0116072831773,20.0,0.04243281471,0.0132692350868,20.0,0.04243281471,0.0138900114501,20.0,0.029702970297,0.00932343234323
2,5,142.0,0.039603960396,0.0163400013471,123.0,0.04243281471,0.0175304775375,122.0,0.043847241867,0.0184515390315,148.0,0.039603960396,0.0148913360724
2,10,164.0,0.043847241867,0.0195813969152,157.0,0.046676096181,0.0209464313778,153.0,0.046676096181,0.021428010148,168.0,0.045261669024,0.0196582923598
2,15,182.0,0.045261669024,0.0194247996228,180.0,0.048090523338,0.0203969376529,178.0,0.049504950495,0.0208880581936,185.0,0.045261669024,0.0187248826924
2,20,204.0,0.04243281471,0.0188073909432,204.0,0.04243281471,0.0196616600436,203.0,0.045261669024,0.020047259828,209.0,0.041018387553,0.0185969107115
2,30,215.0,0.04243281471,0.0211310927011,232.0,0.045261669024,0.0216441031858,231.0,0.049504950495,0.021013785052,216.0,0.045261669024,0.0209997530365
2,50,278.0,0.043847241867,0.0189174019443,293.0,0.049504950495,0.0212315619317,281.0,0.049504950495,0.0215503693226,276.0,0.04243281471,0.0182062594015
2,75,293.0,0.043847241867,0.0191576300487,299.0,0.046676096181,0.0203756089895,310.0,0.045261669024,0.0183258121731,298.0,0.045261669024,0.0201572708291
2,100,304.0,0.046676096181,0.0165993129925,333.0,0.045261669024,0.0172767786983,342.0,0.049504950495,0.0193608136324,311.0,0.04243281471,0.0155598212883
2,125,333.0,0.046676096181,0.0166739633147,352.0,0.043847241867,0.0171196201253,362.0,0.049504950495,0.0178835230462,338.0,0.048090523338,0.0169663905166
2,150,349.0,0.046676096181,0.0173312229182,368.0,0.045261669024,0.0161233470286,385.0,0.046676096181,0.0160071619407,346.0,0.046676096181,0.0172397341775
2,200,367.0,0.0523338048091,0.0168715340922,385.0,0.049504950495,0.0156990188815,423.0,0.045261669024,0.0162097842437,367.0,0.0509193776521,0.0171768707483
2,300,424.0,0.046676096181,0.0166655441054,458.0,0.046676096181,0.0161704946005,495.0,0.046676096181,0.0152657102445,423.0,0.048090523338,0.0168580633574
2,500,506.0,0.046676096181,0.0163355111021,547.0,0.045261669024,0.0165981904313,584.0,0.04243281471,0.0160200713949,504.0,0.043847241867,0.0160307357266
2,750,625.0,0.043847241867,0.0159437372309,649.0,0.043847241867,0.0159330728991,696.0,0.043847241867,0.0158780673986,618.0,0.04243281471,0.0159908848028
2,1000,727.0,0.046676096181,0.0159684335781,749.0,0.045261669024,0.0157029478458,776.0,0.049504950495,0.0163495431176,713.0,0.049504950495,0.0165083855324
2,1250,804.0,0.043847241867,0.0154296041849,830.0,0.045261669024,0.0158006106733,847.0,0.049504950495,0.0160543095126,802.0,0.043847241867,0.0153375541636
2,1500,900.0,0.048090523338,0.0162092229631,909.0,0.0509193776521,0.0165297141959,930.0,0.049504950495,0.0161688107586,897.0,0.046676096181,0.0160677802474
3,1,20.0,0.0311614730878,0.0141541885876,20.0,0.0339943342776,0.0149472773056,20.0,0.0339943342776,0.0148545348262,20.0,0.0240793201133,0.0128085795225
3,5,147.0,0.0325779036827,0.0152103287018,143.0,0.0339943342776,0.0158510949233,141.0,0.0382436260623,0.0175390080489,150.0,0.0354107648725,0.0158201807635
3,10,146.0,0.0439093484419,0.0178189217141,155.0,0.0439093484419,0.0182652097666,153.0,0.042492917847,0.0176081433518,149.0,0.0396600566572,0.0170039120464
3,15,170.0,0.042492917847,0.017854332479,176.0,0.0467422096317,0.0186929493233,181.0,0.0481586402266,0.0194596204865,169.0,0.0396600566572,0.0171635415261
3,20,198.0,0.042492917847,0.018613696659,191.0,0.042492917847,0.0187705157606,197.0,0.0396600566572,0.0186721525248,194.0,0.042492917847,0.0180859076397
3,30,214.0,0.0410764872521,0.0175272044606,217.0,0.042492917847,0.0169690633572,226.0,0.042492917847,0.0176474886461,219.0,0.0453257790368,0.0185664823059
3,50,240.0,0.0467422096317,0.0192949323261,254.0,0.0439093484419,0.0178324115293,257.0,0.0453257790368,0.0191139439723,237.0,0.0495750708215,0.0187772606682
3,75,283.0,0.0467422096317,0.0184051665992,289.0,0.0495750708215,0.0204516839786,308.0,0.0509915014164,0.0209581141238,281.0,0.042492917847,0.0183382795989
3,100,291.0,0.0439093484419,0.0202195467422,323.0,0.0495750708215,0.0202858716669,332.0,0.0509915014164,0.0193275327128,292.0,0.042492917847,0.0196940060255
3,125,316.0,0.0495750708215,0.0222475156257,330.0,0.0509915014164,0.0205770268447,359.0,0.0509915014164,0.019290435721,313.0,0.0481586402266,0.0216511533792
3,150,334.0,0.0509915014164,0.0211334817213,351.0,0.0580736543909,0.021110998696,375.0,0.0580736543909,0.0223706101893,342.0,0.0538243626062,0.0221440937092
3,200,364.0,0.0524079320113,0.0239927604658,389.0,0.0609065155807,0.0237128468007,411.0,0.056657223796,0.0222778677099,355.0,0.0509915014164,0.0237420747336
3,300,401.0,0.0580736543909,0.0243047124421,426.0,0.0580736543909,0.0230316111336,456.0,0.0524079320113,0.020878299384,394.0,0.0552407932011,0.0238123341877
3,500,479.0,0.056657223796,0.022536422501,507.0,0.056657223796,0.0226246683754,530.0,0.056657223796,0.0231710058906,471.0,0.056657223796,0.02331264895
3,750,587.0,0.056657223796,0.0224167003912,605.0,0.0580736543909,0.0229439273349,639.0,0.0538243626062,0.0225358604254,584.0,0.0580736543909,0.0234160708665
3,1000,674.0,0.0509915014164,0.022864112595,693.0,0.0524079320113,0.0230642115203,706.0,0.0538243626062,0.0241473312649,675.0,0.0509915014164,0.0230866945456
3,1250,766.0,0.0509915014164,0.0235504069428,772.0,0.0509915014164,0.0237061018931,781.0,0.0552407932011,0.0240899995503,759.0,0.0509915014164,0.0234897027744
3,1500,821.0,0.0552407932011,0.0226640136697,832.0,0.0538243626062,0.0232620621431,847.0,0.0552407932011,0.0229765277216,824.0,0.0552407932011,0.0226460272494
4,1,20.0,0.043847241867,0.016682382524,20.0,0.0509193776521,0.0186996250645,20.0,0.0509193776521,0.019970925664,20.0,0.035360678925,0.0157708628006
4,5,132.0,0.046676096181,0.0205198581083,124.0,0.048090523338,0.0232100761097,119.0,0.0523338048091,0.0241934397521,133.0,0.045261669024,0.0179138321995
4,10,148.0,0.0551626591231,0.0231118520015,151.0,0.0565770862801,0.0254198379022,149.0,0.0537482319661,0.0264318268562,144.0,0.0537482319661,0.0226718079971
4,15,173.0,0.0565770862801,0.0234469365304,181.0,0.0551626591231,0.0248894277183,170.0,0.0551626591231,0.024712063043,174.0,0.0594059405941,0.0245970005164
4,20,205.0,0.0551626591231,0.0232269145282,195.0,0.0622347949081,0.0245448014189,185.0,0.0608203677511,0.0263060999978,200.0,0.0551626591231,0.022749826003
4,30,231.0,0.0622347949081,0.0254181540603,240.0,0.0608203677511,0.0273781459779,231.0,0.0664780763791,0.0273994746413,230.0,0.0579915134371,0.0250482701331
4,50,251.0,0.0622347949081,0.0267220089356,268.0,0.0594059405941,0.0273506432276,264.0,0.0664780763791,0.0279006982331,251.0,0.0594059405941,0.0254922431019
4,75,303.0,0.0622347949081,0.0250875597764,307.0,0.0622347949081,0.025307020498,310.0,0.0693069306931,0.026476168025,292.0,0.0608203677511,0.0249820390202
4,100,307.0,0.0636492220651,0.0241328214454,318.0,0.0707213578501,0.0256578208841,333.0,0.0707213578501,0.024102512292,306.0,0.0594059405941,0.0218130486518
4,125,325.0,0.0678925035361,0.0241406793741,341.0,0.0707213578501,0.025966525224,364.0,0.0735502121641,0.0260007633416,316.0,0.0636492220651,0.0233133517433
4,150,334.0,0.0749646393211,0.0256836397926,353.0,0.0678925035361,0.0236669585326,383.0,0.0707213578501,0.0244370355403,326.0,0.0693069306931,0.0253766192946
4,200,371.0,0.0693069306931,0.0221559911093,388.0,0.0721357850071,0.0227206394109,420.0,0.0707213578501,0.0231971666554,371.0,0.0664780763791,0.0222441121663
4,300,419.0,0.0664780763791,0.0227863092432,430.0,0.0693069306931,0.0220723602973,480.0,0.0678925035361,0.0227554388092,415.0,0.0650636492221,0.023535618868
