,,,,,,,HR,MRR,COV
"('sss', 0.01)","('r', 1e-10)","('rr', 0.001)","('r', 1)","('nsne', 20)","('lr', 1e-06)","('mi', 40)",0.0138980807412,0.007720893343,24
"('sss', 0.01)","('r', 1e-10)","('rr', 0.001)","('r', 150)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.0141186851974,0.00774295378862,23
"('sss', 0.01)","('r', 1e-10)","('rr', 0.003)","('r', 50)","('nsne', 50)","('lr', 1e-07)","('mi', 40)",0.0145598941099,0.00778742484566,23
"('sss', 0.01)","('r', 1e-10)","('rr', 0.003)","('r', 250)","('nsne', 10)","('lr', 1e-08)","('mi', 40)",0.0138980807412,0.007716428729,24
"('sss', 0.01)","('r', 1e-10)","('rr', 0.01)","('r', 20)","('nsne', 100)","('lr', 3e-08)","('mi', 40)",0.0088241782484,0.00687550555188,38
"('sss', 0.01)","('r', 1e-10)","('rr', 0.03)","('r', 20)","('nsne', 30)","('lr', 3e-06)","('mi', 40)",0.0138980807412,0.00771301461242,23
"('sss', 0.01)","('r', 1e-10)","('rr', 0.03)","('r', 50)","('nsne', None)","('lr', 1e-10)","('mi', 40)",0.0141186851974,0.00764683327556,23
"('sss', 0.01)","('r', 3e-10)","('rr', 0.001)","('r', 150)","('nsne', 100)","('lr', 3e-07)","('mi', 40)",0.013677476285,0.00756699547236,24
"('sss', 0.01)","('r', 3e-10)","('rr', 0.01)","('r', 250)","('nsne', 15)","('lr', 3e-10)","('mi', 40)",0.0147804985661,0.00777823299332,23
"('sss', 0.01)","('r', 1e-09)","('rr', 0.001)","('r', 1)","('nsne', 70)","('lr', 1e-09)","('mi', 40)",0.0145598941099,0.00778742484566,20
"('sss', 0.01)","('r', 1e-09)","('rr', 0.001)","('r', 5)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.0134568718288,0.00757023450604,28
"('sss', 0.01)","('r', 1e-09)","('rr', 0.03)","('r', 100)","('nsne', 100)","('lr', 1e-07)","('mi', 40)",0.012574454004,0.00747901631422,26
"('sss', 0.01)","('r', 1e-09)","('rr', 0.1)","('r', 200)","('nsne', 30)","('lr', 1e-06)","('mi', 40)",0.0138980807412,0.007720893343,23
"('sss', 0.01)","('r', 1e-09)","('rr', 0.3)","('r', 1)","('nsne', 70)","('lr', 3e-08)","('mi', 40)",0.0138980807412,0.00773691342851,25
"('sss', 0.01)","('r', 3e-09)","('rr', 0.01)","('r', 10)","('nsne', None)","('lr', 1e-08)","('mi', 40)",0.0138980807412,0.00765322380147,23
"('sss', 0.01)","('r', 3e-09)","('rr', 0.3)","('r', 10)","('nsne', None)","('lr', 3e-10)","('mi', 40)",0.0141186851974,0.0076465706512,23
"('sss', 0.01)","('r', 1e-08)","('rr', 0.001)","('r', 1)","('nsne', 100)","('lr', 3e-08)","('mi', 40)",0.0112508272667,0.00709943658322,45
"('sss', 0.01)","('r', 1e-08)","('rr', 0.003)","('r', 20)","('nsne', 10)","('lr', 3e-10)","('mi', 40)",0.0147804985661,0.00780948529129,24
"('sss', 0.01)","('r', 1e-08)","('rr', 0.003)","('r', 250)","('nsne', 5)","('lr', 3e-08)","('mi', 40)",0.0141186851974,0.00774094033525,24
"('sss', 0.01)","('r', 1e-08)","('rr', 0.03)","('r', 1)","('nsne', 50)","('lr', 1e-06)","('mi', 40)",0.0138980807412,0.00772430745958,23
"('sss', 0.01)","('r', 1e-08)","('rr', 0.03)","('r', 5)","('nsne', 1)","('lr', 1e-09)","('mi', 40)",0.012574454004,0.00744890205512,22
"('sss', 0.01)","('r', 1e-08)","('rr', 0.03)","('r', 150)","('nsne', 30)","('lr', 3e-06)","('mi', 40)",0.0138980807412,0.00772430745958,23
"('sss', 0.01)","('r', 1e-08)","('rr', 0.3)","('r', 200)","('nsne', 20)","('lr', 1e-10)","('mi', 40)",0.0141186851974,0.00774295378862,23
"('sss', 0.01)","('r', 3e-08)","('rr', 0.003)","('r', 10)","('nsne', 30)","('lr', 3e-10)","('mi', 40)",0.0138980807412,0.00772430745958,23
"('sss', 0.01)","('r', 3e-08)","('rr', 0.003)","('r', 30)","('nsne', 5)","('lr', 3e-06)","('mi', 40)",0.0138980807412,0.00770250963831,24
"('sss', 0.01)","('r', 3e-08)","('rr', 0.03)","('r', 30)","('nsne', 1)","('lr', 1e-08)","('mi', 40)",0.0127950584602,0.00746886150592,22
"('sss', 0.01)","('r', 3e-08)","('rr', 0.1)","('r', 10)","('nsne', 10)","('lr', 1e-09)","('mi', 40)",0.0147804985661,0.00781193645191,24
"('sss', 0.01)","('r', 3e-08)","('rr', 0.3)","('r', 100)","('nsne', None)","('lr', 1e-06)","('mi', 40)",0.0141186851974,0.00764350670042,25
"('sss', 0.01)","('r', 1e-07)","('rr', 0.003)","('r', 75)","('nsne', 15)","('lr', 3e-09)","('mi', 40)",0.0141186851974,0.0077463679052,23
"('sss', 0.01)","('r', 1e-07)","('rr', 0.01)","('r', 5)","('nsne', 30)","('lr', 3e-09)","('mi', 40)",0.0138980807412,0.00772824682487,23
"('sss', 0.01)","('r', 1e-07)","('rr', 0.01)","('r', 75)","('nsne', None)","('lr', 1e-10)","('mi', 40)",0.0141186851974,0.00766556714604,25
"('sss', 0.01)","('r', 1e-07)","('rr', 0.01)","('r', 75)","('nsne', 70)","('lr', 1e-06)","('mi', 40)",0.0138980807412,0.007720893343,21
"('sss', 0.01)","('r', 1e-07)","('rr', 0.1)","('r', 250)","('nsne', 1)","('lr', 1e-08)","('mi', 40)",0.012574454004,0.0074468010603,22
"('sss', 0.01)","('r', 1e-07)","('rr', 0.3)","('r', 20)","('nsne', 5)","('lr', 3e-09)","('mi', 40)",0.0138980807412,0.0076914794155,24
"('sss', 0.01)","('r', 1e-07)","('rr', 0.3)","('r', 150)","('nsne', 10)","('lr', 1e-06)","('mi', 40)",0.0141186851974,0.0077463679052,24
"('sss', 0.01)","('r', 3e-07)","('rr', 0.001)","('r', 50)","('nsne', 70)","('lr', 3e-06)","('mi', 40)",0.0138980807412,0.00772430745958,23
