,,,,,,,HR,MRR,COV
"('sss', 0.01)","('r', 1e-10)","('rr', 0.001)","('r', 150)","('nsne', 5)","('lr', 3e-07)","('mi', 40)",0.102074688797,0.0369357175789,127
"('sss', 0.01)","('r', 1e-10)","('rr', 0.003)","('r', 1)","('nsne', 5)","('lr', 3e-10)","('mi', 40)",0.0946058091286,0.0360044128301,124
"('sss', 0.01)","('r', 1e-10)","('rr', 0.003)","('r', 5)","('nsne', 20)","('lr', 1e-07)","('mi', 40)",0.0838174273859,0.0292939471778,91
"('sss', 0.01)","('r', 1e-10)","('rr', 0.01)","('r', 1)","('nsne', 50)","('lr', 3e-08)","('mi', 40)",0.0813278008299,0.0287607850886,119
"('sss', 0.01)","('r', 1e-10)","('rr', 0.03)","('r', 5)","('nsne', 20)","('lr', 1e-08)","('mi', 40)",0.0871369294606,0.0299845221629,93
"('sss', 0.01)","('r', 1e-10)","('rr', 0.1)","('r', 5)","('nsne', 15)","('lr', 3e-09)","('mi', 40)",0.0854771784232,0.0294991108477,77
"('sss', 0.01)","('r', 3e-10)","('rr', 0.001)","('r', 20)","('nsne', 5)","('lr', 3e-08)","('mi', 40)",0.13112033195,0.0505842060199,200
"('sss', 0.01)","('r', 3e-10)","('rr', 0.03)","('r', 1)","('nsne', 1)","('lr', 1e-10)","('mi', 40)",0.0846473029046,0.0282799841928,81
"('sss', 0.01)","('r', 1e-09)","('rr', 0.003)","('r', 100)","('nsne', 5)","('lr', 3e-07)","('mi', 40)",0.11867219917,0.0446150299677,190
"('sss', 0.01)","('r', 1e-09)","('rr', 0.003)","('r', 250)","('nsne', 70)","('lr', 3e-07)","('mi', 40)",0.0838174273859,0.0296291905421,134
"('sss', 0.01)","('r', 1e-09)","('rr', 0.1)","('r', 10)","('nsne', 15)","('lr', 3e-06)","('mi', 40)",0.0854771784232,0.0295106368965,77
"('sss', 0.01)","('r', 3e-09)","('rr', 0.01)","('r', 1)","('nsne', None)","('lr', 3e-10)","('mi', 40)",0.100414937759,0.0363429493512,134
"('sss', 0.01)","('r', 3e-09)","('rr', 0.01)","('r', 100)","('nsne', 30)","('lr', 1e-08)","('mi', 40)",0.0829875518672,0.0290001975894,108
