,,FM,FM,FM
,,COV,HR,MRR
fold,rank,,,
1,1,68.0,0.0157114405842,0.0105527982381
1,5,1711.0,0.0174817437486,0.0103451213044
1,10,4197.0,0.0163753042709,0.0103161431276
1,15,5693.0,0.0179243195397,0.0111954990745
1,20,6585.0,0.0205797742863,0.0097991022034
1,30,6328.0,0.021243637973,0.0115855628967
1,50,1240.0,0.0208010621819,0.0119731679645
1,75,1225.0,0.0199159105997,0.0115586922237
1,100,1093.0,0.0199159105997,0.0117696182257
1,125,1187.0,0.0210223500775,0.0118685830901
1,150,1113.0,0.0225713653463,0.0122671647401
1,200,1303.0,0.0190307590175,0.0113733197048
1,300,1241.0,0.0201371984952,0.0115744106893
1,500,1086.0,0.0201371984952,0.0114524389087
1,750,1298.0,0.0194733348086,0.0115197912166
1,1000,336.0,0.0190307590175,0.0114555123517
1,1500,351.0,0.0190307590175,0.0113965900589
1,2000,300.0,0.0179243195397,0.0112344878941
1,3200,432.0,0.0179243195397,0.0112344878941
2,1,75.0,0.013230429989,0.00957578621305
2,5,1840.0,0.0167585446527,0.00964876358482
2,10,4145.0,0.0149944873208,0.00988869638263
2,15,5619.0,0.0154355016538,0.0104366391908
2,20,6447.0,0.0147739801544,0.00902871843335
2,30,7309.0,0.019625137817,0.0107286361807
2,50,1118.0,0.018743109151,0.0103735496404
2,75,1141.0,0.0174200661521,0.0102404578149
2,100,1221.0,0.0183020948181,0.0102457079855
2,125,1278.0,0.018743109151,0.0104867783203
2,150,1132.0,0.0165380374862,0.0100243257906
2,200,1100.0,0.0183020948181,0.010516091773
2,300,1044.0,0.0167585446527,0.0100122503981
2,500,1227.0,0.0183020948181,0.0102318825362
2,750,379.0,0.0167585446527,0.0100102378327
2,1000,277.0,0.0189636163175,0.0104490645946
2,1500,1062.0,0.0178610804851,0.0102788715633
2,2000,266.0,0.018743109151,0.0103710120579
2,3200,292.0,0.018743109151,0.0103710120579
3,1,103.0,0.0187667560322,0.0128107401733
3,5,1644.0,0.0180965147453,0.0125519525654
3,10,4425.0,0.0192135835567,0.0129673957757
3,15,5488.0,0.0216711349419,0.013541799651
3,20,6552.0,0.0221179624665,0.0119412882818
3,30,6042.0,0.0254691689008,0.0143133750372
3,50,1142.0,0.0241286863271,0.0140566265231
3,75,1181.0,0.0239052725648,0.0137292189739
3,100,1131.0,0.0252457551385,0.0142062782813
3,125,1287.0,0.0243521000894,0.0143229499128
3,150,1273.0,0.0247989276139,0.0143876689788
3,200,1207.0,0.0256925826631,0.0138197370101
3,300,1025.0,0.021000893655,0.0122512305488
3,500,274.0,0.0259159964254,0.014532444643
3,750,1081.0,0.0223413762288,0.0124159538704
3,1000,258.0,0.0221179624665,0.0128699625516
3,1500,285.0,0.0245755138517,0.0141970580308
3,2000,369.0,0.0207774798928,0.0122030902024
3,3200,317.0,0.0207774798928,0.0122030902024
4,1,54.0,0.0141875415651,0.00986125625895
4,5,1711.0,0.0175127466194,0.010503865331
4,10,4340.0,0.0159609842607,0.0104997308167
4,15,5965.0,0.0186211483041,0.0111082961227
4,20,7026.0,0.0179561072933,0.00868494297889
4,30,6746.0,0.0234981157171,0.0117328716752
4,50,1321.0,0.0234981157171,0.0119430281534
4,75,1437.0,0.0215029926845,0.0116156977828
4,100,1536.0,0.0237197960541,0.0121922425957
4,125,1270.0,0.0221680336954,0.0118620092683
4,150,1347.0,0.0215029926845,0.011550161334
4,200,1255.0,0.0230547550432,0.012017361441
4,300,1357.0,0.0217246730215,0.0117962968828
4,500,1210.0,0.0246065174019,0.0122407131773
4,750,1443.0,0.0223897140324,0.0120320521617
4,1000,1384.0,0.0201729106628,0.0116295967881
4,1500,1570.0,0.0228330747063,0.0120553637845
4,2000,1384.0,0.0230547550432,0.011973113342
4,3200,1261.0,0.0230547550432,0.011973113342
5,1,73.0,0.0121332450916,0.00697617822039
5,5,1809.0,0.0141186851974,0.00781044824725
5,10,4797.0,0.0121332450916,0.00691647495089
5,15,7027.0,0.0134568718288,0.00713445316357
5,20,8007.0,0.0216192367086,0.0092388621012
5,30,2175.0,0.0253695124642,0.0103927459652
5,50,2404.0,0.0255901169204,0.0109199205824
5,75,2532.0,0.0284579748511,0.0118246614772
5,100,2578.0,0.0282373703949,0.0111555821682
5,125,2821.0,0.0251489080079,0.0104245235119
5,150,2784.0,0.0282373703949,0.0106839088308
5,200,2781.0,0.0280167659387,0.0112801536528
5,300,2784.0,0.0291197882197,0.0115942523785
5,500,2930.0,0.026251930289,0.0109542368311
5,750,2812.0,0.0271343481138,0.0109867147094
5,1000,2655.0,0.0297816015884,0.0117756382647
5,1500,2814.0,0.0269137436576,0.010679094051
5,2000,2654.0,0.0277961614825,0.0110577983675
5,3200,2772.0,0.0277961614825,0.0110577983675
