,,FM,FM,FM
,,COV,HR,MRR
fold,rank,,,
1,1,69.0,0.0139261744966,0.00453872376691
1,5,335.0,0.0201342281879,0.00699777617982
1,10,438.0,0.0246644295302,0.00834906874756
1,15,449.0,0.0232662192394,0.0080221982529
1,20,465.0,0.0234899328859,0.00819806203615
1,30,463.0,0.0249440715884,0.00893753772948
1,50,433.0,0.0227628635347,0.0081050699549
1,75,408.0,0.0232662192394,0.00843360498562
1,100,430.0,0.0227628635347,0.00824655552005
1,125,421.0,0.0238255033557,0.00836631334115
1,150,407.0,0.0235458612975,0.00799221441
1,200,389.0,0.0224832214765,0.00780254607436
1,300,387.0,0.0228747203579,0.00792281435318
1,500,356.0,0.0223713646532,0.00773698554739
1,750,328.0,0.0211409395973,0.00758697755762
1,1000,298.0,0.021644295302,0.00716966727034
1,1250,318.0,0.0219798657718,0.00716986701467
1,1500,257.0,0.0198545861298,0.00708928127552
1,1750,273.0,0.0204138702461,0.00737296260786
1,2000,301.0,0.0215324384787,0.00744367209971
1,2500,286.0,0.0215883668904,0.00740969337026
1,3200,291.0,0.0213087248322,0.00759063953695
2,1,71.0,0.0126978799575,0.00415233815553
2,5,361.0,0.0230463724339,0.00781903856245
2,10,534.0,0.0286401521508,0.0101645636719
2,15,503.0,0.0270738938301,0.0103990584692
2,20,540.0,0.0272976450187,0.0104784812622
2,30,486.0,0.0270738938301,0.0102398355251
2,50,457.0,0.0272417072216,0.00984212222675
2,75,493.0,0.0276332718018,0.00987737191798
2,100,465.0,0.0267942048442,0.0102930208275
2,125,479.0,0.0258432622923,0.00977861506893
2,150,435.0,0.0265704536555,0.00995430858663
2,200,454.0,0.0262907646697,0.0100518889661
2,300,386.0,0.0255076355093,0.00992875921975
2,500,361.0,0.0266263914527,0.0091317122027
2,750,409.0,0.0262348268725,0.00964147867571
2,1000,404.0,0.0261229512782,0.00913826047657
2,1250,335.0,0.0251720087263,0.0090020119849
2,1500,359.0,0.025731386698,0.00922325485172
2,1750,338.0,0.025060133132,0.00866152394093
2,2000,284.0,0.0229904346367,0.00825568634345
2,2500,355.0,0.0255635733065,0.00896270014411
2,3200,342.0,0.026067013481,0.00924048014164
3,1,73.0,0.0129877400213,0.00471680844239
3,5,343.0,0.0213849857247,0.00749385312729
3,10,443.0,0.0235682696076,0.00865460573376
3,15,458.0,0.0237362145216,0.00890114709042
3,20,442.0,0.0231204165034,0.00860866524669
3,30,475.0,0.0238481777977,0.00845893657991
3,50,443.0,0.02463192073,0.00898942924499
3,75,433.0,0.0226165817612,0.00836865508113
3,100,435.0,0.0227845266753,0.00859466983718
3,125,433.0,0.0244079941779,0.00853651113546
3,150,401.0,0.0223926552091,0.00843378927267
3,200,401.0,0.0238481777977,0.00881093223645
3,300,392.0,0.0226165817612,0.00825238210756
3,500,337.0,0.022056765381,0.00781137120358
3,750,315.0,0.0212170408106,0.00793690780535
3,1000,336.0,0.022224710295,0.00806088936162
3,1250,333.0,0.0208251693445,0.00786601994546
3,1500,283.0,0.0210490958965,0.00736342923965
3,1750,345.0,0.0213849857247,0.00767645989893
3,2000,262.0,0.0202653529642,0.00736902740346
3,2500,284.0,0.0207132060684,0.00704213462429
3,3200,300.0,0.0218328388289,0.00760097354734
4,1,62.0,0.0120886501007,0.00419056324866
4,5,368.0,0.0216588314305,0.00744489572562
4,10,446.0,0.0223863890754,0.00816714548666
4,15,495.0,0.02372957242,0.00918139548932
4,20,452.0,0.0226102529662,0.0083363981366
4,30,449.0,0.0233378106111,0.00852053062849
4,50,446.0,0.0223863890754,0.00868398680269
4,75,418.0,0.0220505932393,0.00853820876907
4,100,412.0,0.022106559212,0.0081348984262
4,125,414.0,0.0223863890754,0.00845143930268
4,150,415.0,0.022834116857,0.00837184325264
4,200,392.0,0.022106559212,0.00850989265193
4,300,376.0,0.0229460488023,0.00853692066335
4,500,357.0,0.0212670696217,0.0078463849535
4,750,350.0,0.0227221849116,0.0085822708682
4,1000,311.0,0.0214349675397,0.00795796155937
4,1250,320.0,0.0214909335124,0.00794743462641
4,1500,265.0,0.0206514439221,0.00742830581229
4,1750,308.0,0.0226662189389,0.00797319674083
4,2000,319.0,0.0217707633759,0.00808870429001
4,2500,271.0,0.0214349675397,0.00794250429072
4,3200,304.0,0.0215468994851,0.00803347120506
5,1,88.0,0.0145899714909,0.00545617729082
5,5,873.0,0.0396332942031,0.0146910356369
5,10,1095.0,0.0446084185813,0.0192033190566
5,15,1194.0,0.0477388339203,0.0207737840138
5,20,1227.0,0.0471798311812,0.0214468499308
5,30,1249.0,0.047906534742,0.0224280550165
5,50,1231.0,0.048521437755,0.0220973117292
5,75,1253.0,0.0484655374811,0.0223747279298
5,100,1259.0,0.0494158421376,0.0233246998466
5,125,1258.0,0.0509810498071,0.02297126371
5,150,1245.0,0.0499189446028,0.0232385202576
5,200,1241.0,0.051092850355,0.0228825331165
5,300,1275.0,0.049192241042,0.0228705544864
5,500,1233.0,0.0506456481637,0.023635500933
5,750,1204.0,0.0490804404942,0.0229010556279
5,1000,1165.0,0.0496394432333,0.0220623296927
5,1250,1189.0,0.0500866454246,0.0223546304504
5,1500,1205.0,0.0501425456985,0.0227663404043
5,1750,1219.0,0.0500307451507,0.0232357252439
5,2000,1175.0,0.0494158421376,0.022571421473
5,2500,1140.0,0.049192241042,0.0220386164416
5,3200,1146.0,0.0494158421376,0.0223253715372
