,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
1,1,30.0,0.0211409395973,0.00625153137318,30.0,0.0190156599553,0.00540335037818,20.0,0.0190156599553,0.00540335037818,30.0,0.0194071588367,0.00616732804233
1,5,88.0,0.0416666666667,0.0165415379425,87.0,0.0376398210291,0.013770662441,88.0,0.0350111856823,0.0123324810909,94.0,0.0424496644295,0.0161272682078
1,10,146.0,0.0522371364653,0.0199272930649,156.0,0.0511185682327,0.02008478037,164.0,0.0491610738255,0.0192515801996,124.0,0.0471476510067,0.0183161109336
1,15,188.0,0.0566554809843,0.022763662512,208.0,0.0558165548098,0.0224755424168,214.0,0.0547539149888,0.021893265509,143.0,0.0506711409396,0.020531497461
1,20,217.0,0.0587807606264,0.0241680204893,250.0,0.0596756152125,0.0241298693228,259.0,0.0597874720358,0.0242150047939,155.0,0.0531319910515,0.0220182166826
1,30,247.0,0.0624720357942,0.0256401583751,333.0,0.0664429530201,0.0271539540499,359.0,0.0654362416107,0.0273792656511,196.0,0.0552572706935,0.0233249884592
1,50,305.0,0.0653243847875,0.0286104674905,407.0,0.0709731543624,0.031319732964,475.0,0.0717561521253,0.032202780441,260.0,0.0587807606264,0.0266482236071
1,75,400.0,0.0670022371365,0.0309357799794,505.0,0.0732102908277,0.0338472089059,567.0,0.0762863534676,0.0350046385072,349.0,0.061744966443,0.0295407212102
1,100,499.0,0.0699105145414,0.0329247674088,598.0,0.0757829977629,0.0354663808103,690.0,0.0799776286353,0.0365515251589,460.0,0.0649888143177,0.0317474299563
1,125,584.0,0.0720357941834,0.0344767586378,709.0,0.0784675615213,0.0369707885018,803.0,0.081096196868,0.0377381174319,559.0,0.0684004474273,0.0331056913817
1,150,663.0,0.072706935123,0.0348297512517,791.0,0.0798098434004,0.0375383952985,895.0,0.081711409396,0.038453623806,629.0,0.0672818791946,0.033873109087
1,200,824.0,0.0742170022371,0.0365358563261,958.0,0.0805928411633,0.0383185744469,1088.0,0.0840044742729,0.0395612282944,775.0,0.0704697986577,0.0354015970669
1,300,1120.0,0.0792505592841,0.0383912591882,1297.0,0.082774049217,0.0402412911473,1436.0,0.0852908277405,0.0409985884734,1073.0,0.0757829977629,0.0375738610135
1,500,1714.0,0.0826062639821,0.0405399089166,1852.0,0.0858501118568,0.0414058005753,2047.0,0.0877516778523,0.0423942686694,1689.0,0.0813758389262,0.0398996617663
1,750,2334.0,0.0845078299776,0.0415422703384,2537.0,0.0876398210291,0.0419092006676,2769.0,0.089932885906,0.0430080607933,2301.0,0.0835570469799,0.0413323168566
1,1000,2958.0,0.0870246085011,0.0422105704698,3151.0,0.0879753914989,0.0423981081993,3434.0,0.0895413870246,0.0432580741096,2911.0,0.0852348993289,0.0421455647882
1,1250,3569.0,0.0872483221477,0.0426621258123,3768.0,0.0874161073826,0.0424479111182,4106.0,0.0892058165548,0.0434665849934,3538.0,0.0860738255034,0.0423414030042
1,1500,4173.0,0.0876957494407,0.0426271039736,4376.0,0.0876398210291,0.0428220988246,4718.0,0.0895973154362,0.0436060953091,4165.0,0.0870805369128,0.0428413630553
1,1750,4756.0,0.0875279642058,0.0426957938283,4971.0,0.0878635346756,0.0426836094244,5364.0,0.0885906040268,0.0434004696211,4785.0,0.0874161073826,0.0429750585917
1,2000,5327.0,0.0876957494407,0.0427905392209,5567.0,0.0884228187919,0.0425505575086,6053.0,0.0873601789709,0.04294420919,5330.0,0.0876957494407,0.0430109681829
1,2500,6401.0,0.0878635346756,0.0427459740421,6753.0,0.0880313199105,0.0426551569547,7333.0,0.0875838926174,0.0425547743333,6377.0,0.0879753914989,0.042926298782
1,3200,7737.0,0.0888143176734,0.0428983345762,8276.0,0.0879194630872,0.0424212563474,9035.0,0.086744966443,0.0423622651894,7662.0,0.0887024608501,0.0430280574198
2,1,30.0,0.0202494825754,0.00633799659223,30.0,0.0198579179952,0.00569531125833,30.0,0.0198579179952,0.00569531125833,30.0,0.0203613581697,0.00627162595194
2,5,89.0,0.0411702187168,0.0152468233103,96.0,0.0387648934385,0.0140693548774,97.0,0.0382055154668,0.0132929071761,107.0,0.0416177210941,0.0143629395224
2,10,149.0,0.0502321418583,0.0186127914648,155.0,0.0478827543771,0.0184478637533,152.0,0.0476590031885,0.0181111714884,126.0,0.0452536779102,0.0173009835285
2,15,207.0,0.0549309168205,0.0219721003577,219.0,0.0532527829054,0.0205162747913,227.0,0.0529730939196,0.0204598486483,151.0,0.0505677686413,0.0200630232515
2,20,228.0,0.0567768641271,0.0230206232891,261.0,0.0587906248252,0.0235937637347,268.0,0.0581193712592,0.0231902346813,164.0,0.0528052805281,0.021619337075
2,30,258.0,0.0629859596129,0.0259424630922,335.0,0.0638809643676,0.0270403089542,355.0,0.064328466745,0.027159620724,188.0,0.0549309168205,0.0232439083295
2,50,305.0,0.0655031604855,0.0285171999847,424.0,0.0700900598534,0.03090929553,475.0,0.0718800693629,0.0310472976273,265.0,0.058734687028,0.0259025297203
2,75,409.0,0.0670694188063,0.030748385573,521.0,0.0735022654808,0.0325367080695,598.0,0.0752922749902,0.03355737309,343.0,0.0591262516082,0.0281393978784
2,100,498.0,0.0680762991553,0.0319254988453,634.0,0.0761872797449,0.0345300914272,712.0,0.0794316719808,0.0357614776813,457.0,0.0630418974101,0.0302916712172
2,125,598.0,0.0712088157968,0.0330349096249,732.0,0.0769144711081,0.0353681594955,830.0,0.08083011691,0.0368594789261,543.0,0.0653912848912,0.0313211042654
2,150,672.0,0.0717122559714,0.0338692485068,813.0,0.0788722940091,0.0366828753093,911.0,0.0835710689713,0.0374997225308,635.0,0.0671812944006,0.0321279181994
2,200,851.0,0.0741735190468,0.0348839201919,973.0,0.0804385523298,0.0375454272627,1118.0,0.0841863847402,0.0386833396818,784.0,0.0700900598534,0.0333759970024
2,300,1128.0,0.0782569782402,0.0370480248186,1313.0,0.0825082508251,0.0386251377357,1455.0,0.0845220115232,0.0399175006282,1092.0,0.0755160261789,0.0355940416479
2,500,1708.0,0.0812776192874,0.0390113527091,1898.0,0.0851932650892,0.0401651585659,2065.0,0.0869832745986,0.0410684430025,1662.0,0.0791519829949,0.0380218086377
2,750,2357.0,0.0845220115232,0.0405852025881,2550.0,0.0862001454383,0.0411086205473,2759.0,0.0872629635845,0.0420334587938,2304.0,0.0835710689713,0.0398730167609
2,1000,2971.0,0.0860323320468,0.0408695308595,3142.0,0.0867035856128,0.0414666446467,3437.0,0.088102030542,0.0421372766817,2950.0,0.0848576383062,0.0405520172679
2,1250,3639.0,0.0851932650892,0.0405853357733,3803.0,0.0858645186553,0.04144984111,4122.0,0.0878782793534,0.0420308172867,3606.0,0.084801700509,0.0404513514305
2,1500,4254.0,0.0860882698439,0.040988132308,4433.0,0.0863679588298,0.0411486205118,4750.0,0.0879901549477,0.0418810504941,4263.0,0.0851932650892,0.0408537928046
2,1750,4881.0,0.0850813894949,0.0408796751346,5056.0,0.0864798344241,0.041017810417,5414.0,0.0872070257873,0.0418932369427,4874.0,0.0849135761034,0.0409075330455
2,2000,5431.0,0.0849135761034,0.0407137929289,5667.0,0.0858085808581,0.0408307961547,6073.0,0.0873189013817,0.0415582538883,5465.0,0.0853610784807,0.0408502855935
2,2500,6460.0,0.0852492028864,0.0408296196851,6855.0,0.0855288918722,0.0408546585086,7400.0,0.0862560832354,0.0409830712692,6441.0,0.0851932650892,0.0408330825011
2,3200,7840.0,0.0855848296694,0.0409175663329,8391.0,0.0854729540751,0.0410030712514,9007.0,0.0854170162779,0.0408976329433,7791.0,0.0851932650892,0.0410124608102
3,1,30.0,0.0190897385658,0.00518167818733,30.0,0.0184739405475,0.00499676106237,30.0,0.0184739405475,0.00467115674948,30.0,0.0208811509825,0.00544712445429
3,5,84.0,0.0395790180821,0.014998947012,83.0,0.036835917819,0.013951046279,83.0,0.0363320830768,0.0135463790099,96.0,0.0413144488608,0.016039605676
3,10,148.0,0.0489839332699,0.0189257034804,147.0,0.0482561719756,0.0193960380995,145.0,0.0476403739573,0.0187577807812,127.0,0.0459049431786,0.0180595653515
3,15,191.0,0.0537423725018,0.0221572435352,215.0,0.0520069417231,0.0212447206205,219.0,0.0522308682752,0.0212557392286,148.0,0.0494877680121,0.0196063691109
3,20,216.0,0.0559256563847,0.0233132421455,258.0,0.0563175278509,0.0228347546449,265.0,0.0558136931087,0.0226884470782,153.0,0.0513911437049,0.0211564828958
3,30,250.0,0.0598443710463,0.0243309305659,327.0,0.0622515814813,0.0263975638213,353.0,0.0632592509657,0.0267690641914,192.0,0.0529026479315,0.0220850005643
3,50,304.0,0.061467838549,0.0262890216453,425.0,0.0681856351117,0.0294212831525,459.0,0.068969378044,0.0302513220108,252.0,0.0559256563847,0.0238661274657
3,75,390.0,0.0654425348486,0.0290614456236,511.0,0.0711526619269,0.0316466643385,595.0,0.0737278172759,0.0325345286746,342.0,0.059060628114,0.0269489385259
3,100,478.0,0.0676818003695,0.0305447813117,619.0,0.0744555785702,0.0334185276118,684.0,0.0752953031406,0.0344846668071,467.0,0.0623635447573,0.0284980082089
3,125,583.0,0.0705368639086,0.0321353262796,698.0,0.0761910093489,0.0345277193525,810.0,0.0782063483178,0.0360588171524,548.0,0.0653865532105,0.0304301522434
3,150,662.0,0.0726641661535,0.0326136582756,787.0,0.0773666237474,0.035193545406,915.0,0.0796058892683,0.0364541319336,628.0,0.0674018921794,0.0309544025115
3,200,830.0,0.073951743828,0.033657982404,995.0,0.078878127974,0.0359674249069,1120.0,0.0819011364273,0.0373904248295,796.0,0.0691933045961,0.0321950178119
3,300,1115.0,0.078766164698,0.0364398033001,1334.0,0.0824609528075,0.0377714554071,1464.0,0.0833006773778,0.039067519187,1085.0,0.0749034316744,0.0348205566352
3,500,1712.0,0.0815652465991,0.0381529747132,1894.0,0.0839724570341,0.0395851049745,2058.0,0.0872193920394,0.0408293635243,1666.0,0.0795499076303,0.0375305122142
3,750,2362.0,0.0825169344455,0.0393271895707,2557.0,0.0845322734143,0.0401880849748,2796.0,0.0864916307451,0.0411645424745,2343.0,0.0826288977215,0.0388883335155
3,1000,2981.0,0.08380451212,0.0396463959821,3209.0,0.0841963835862,0.0398476632998,3458.0,0.0860437776409,0.0411759831664,2965.0,0.0825169344455,0.0390127815854
3,1250,3631.0,0.0841963835862,0.039767756176,3818.0,0.0847561999664,0.0405522544161,4141.0,0.0859877960029,0.0409779370144,3615.0,0.0829088059117,0.0390780268516
3,1500,4203.0,0.0850361081565,0.0398648132301,4432.0,0.0851480714326,0.0407342613845,4766.0,0.0858198510888,0.04098291316,4207.0,0.0840284386721,0.039424202195
3,1750,4816.0,0.0856519061748,0.039980286466,4994.0,0.0856519061748,0.0406314728769,5366.0,0.0852040530706,0.0409634084465,4802.0,0.0853160163466,0.0396379543065
3,2000,5366.0,0.0854839612607,0.0399923491761,5625.0,0.0849241448805,0.0401064228711,6055.0,0.0849241448805,0.0407916425635,5398.0,0.0858198510888,0.0398352229358
