,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
1,1,20.0,0.028328611898,0.0112072260443,20.0,0.028328611898,0.01116788075,20.0,0.028328611898,0.0113724762804,20.0,0.0269121813031,0.00909044921085
1,5,229.0,0.0368271954674,0.0182303610774,222.0,0.0439093484419,0.0203589414992,212.0,0.0453257790368,0.0189284590134,234.0,0.0339943342776,0.016915666172
1,10,328.0,0.0453257790368,0.0173675749809,309.0,0.0453257790368,0.0175806016458,307.0,0.0439093484419,0.0182084401277,333.0,0.0439093484419,0.0171039615091
1,15,456.0,0.0453257790368,0.0170831647106,417.0,0.0481586402266,0.019085278115,396.0,0.0509915014164,0.0206939385764,479.0,0.0439093484419,0.0169077971132
1,20,497.0,0.0453257790368,0.0202054948514,465.0,0.0481586402266,0.0208535680561,439.0,0.0538243626062,0.0247577454022,547.0,0.0453257790368,0.0198390215387
1,30,582.0,0.0538243626062,0.0229883313099,562.0,0.0509915014164,0.0202774405324,549.0,0.0439093484419,0.0183219794055,610.0,0.0538243626062,0.0227213453842
1,50,679.0,0.042492917847,0.0218338279599,679.0,0.0453257790368,0.0232423894959,704.0,0.0439093484419,0.0172821394847,698.0,0.0453257790368,0.0223531858447
1,75,766.0,0.0439093484419,0.0224650388956,783.0,0.0410764872521,0.0194714240748,816.0,0.042492917847,0.0196226224201,792.0,0.0453257790368,0.0233480597149
1,100,848.0,0.042492917847,0.0219366878007,831.0,0.0396600566572,0.0211851926795,930.0,0.042492917847,0.0225836368542,851.0,0.0453257790368,0.0225128153244
1,125,861.0,0.0396600566572,0.0186946355502,885.0,0.0439093484419,0.020222919196,949.0,0.0509915014164,0.0190661675435,878.0,0.0368271954674,0.0183478348847
1,150,881.0,0.042492917847,0.0203111650704,909.0,0.042492917847,0.0197192994289,990.0,0.0439093484419,0.0159882413778,895.0,0.0439093484419,0.0186097621296
1,200,920.0,0.0396600566572,0.0175052835109,958.0,0.0339943342776,0.0162035163452,1057.0,0.0396600566572,0.0172995638293,936.0,0.0382436260623,0.0200750933046
1,300,1036.0,0.0439093484419,0.0160360178066,1100.0,0.0410764872521,0.0162900759926,1193.0,0.0354107648725,0.0180055308242,1045.0,0.0396600566572,0.016405863573
1,500,1281.0,0.0325779036827,0.0165199649265,1380.0,0.0297450424929,0.0161208912271,1471.0,0.0325779036827,0.0169359008948,1282.0,0.0325779036827,0.0164435226404
1,750,1647.0,0.0325779036827,0.0177953145375,1754.0,0.028328611898,0.0146375736319,1861.0,0.0269121813031,0.0135836818202,1608.0,0.0354107648725,0.0182854444894
1,1000,1989.0,0.028328611898,0.0134184315842,2072.0,0.0311614730878,0.0127962138585,2151.0,0.0254957507082,0.0090606592023,1953.0,0.0269121813031,0.0137528665857
1,1250,2256.0,0.0311614730878,0.0103523090067,2331.0,0.028328611898,0.00888753990737,2420.0,0.0254957507082,0.00868069607446,2247.0,0.0325779036827,0.0109037052026
1,1500,2519.0,0.0254957507082,0.00840752731688,2590.0,0.0240793201133,0.00698154143622,2677.0,0.0212464589235,0.0065251360223,2503.0,0.0254957507082,0.00833670578713
1,1750,2763.0,0.0212464589235,0.00703662484824,2779.0,0.0198300283286,0.00638742749224,2826.0,0.0198300283286,0.00657010207293,2756.0,0.0198300283286,0.00674153514097
1,2000,2855.0,0.0212464589235,0.00630480237421,2826.0,0.0198300283286,0.00586582130491,2854.0,0.0169971671388,0.00551958271505,2848.0,0.0226628895184,0.00642283825712
1,2500,2841.0,0.0169971671388,0.00335952605783,2835.0,0.0155807365439,0.00303071181258,2824.0,0.0155807365439,0.00299698727461,2854.0,0.0169971671388,0.00324149017492
2,1,20.0,0.029702970297,0.0116072831773,20.0,0.04243281471,0.0132692350868,20.0,0.04243281471,0.0138900114501,20.0,0.029702970297,0.00932343234323
2,5,244.0,0.038189533239,0.0156327877686,200.0,0.036775106082,0.0164382254552,202.0,0.035360678925,0.0167272849734,245.0,0.026874115983,0.00849610471251
2,10,346.0,0.045261669024,0.0196622213242,323.0,0.04243281471,0.0208268786062,311.0,0.038189533239,0.0208117240295,352.0,0.04243281471,0.0202880492131
2,15,450.0,0.036775106082,0.0155463505534,417.0,0.039603960396,0.0176427336611,404.0,0.036775106082,0.019599357895,468.0,0.032531824611,0.015577782268
2,20,509.0,0.038189533239,0.0193102983768,494.0,0.038189533239,0.0196605374823,489.0,0.036775106082,0.0183437731528,553.0,0.041018387553,0.0184908286747
2,30,599.0,0.041018387553,0.0184476100671,578.0,0.041018387553,0.0184537841539,581.0,0.038189533239,0.0167604005298,622.0,0.045261669024,0.0190667025886
2,50,711.0,0.035360678925,0.0151792730293,710.0,0.045261669024,0.0172812689432,752.0,0.04243281471,0.0186659482275,717.0,0.036775106082,0.0153240834288
2,75,765.0,0.0509193776521,0.0173834220157,805.0,0.045261669024,0.0179531218428,859.0,0.04243281471,0.0139511910375,769.0,0.04243281471,0.0156681484475
2,100,813.0,0.048090523338,0.0171847286769,857.0,0.046676096181,0.0156210008756,898.0,0.046676096181,0.0149266967513,805.0,0.048090523338,0.0169630228329
2,125,862.0,0.0537482319661,0.0168653600054,912.0,0.045261669024,0.0184953189196,989.0,0.043847241867,0.0166363575133,874.0,0.045261669024,0.0159976201702
2,150,883.0,0.041018387553,0.0142475472037,919.0,0.038189533239,0.0131968298871,1002.0,0.043847241867,0.013296737837,915.0,0.041018387553,0.0135796232684
2,200,910.0,0.038189533239,0.0161968747895,976.0,0.029702970297,0.0131698884174,1095.0,0.024045261669,0.0110460025594,914.0,0.038189533239,0.0157074380907
2,300,1012.0,0.026874115983,0.0115253362071,1088.0,0.026874115983,0.0113429200063,1214.0,0.031117397454,0.0121831570912,1032.0,0.02828854314,0.0127983206484
2,500,1266.0,0.036775106082,0.0153835791742,1347.0,0.035360678925,0.0142166767697,1465.0,0.033946251768,0.0126551940908,1247.0,0.036775106082,0.0153835791742
2,750,1619.0,0.032531824611,0.0135796232684,1731.0,0.041018387553,0.0111790260659,1845.0,0.035360678925,0.010272557868,1599.0,0.033946251768,0.0135599784468
2,1000,1974.0,0.026874115983,0.0106783637547,2048.0,0.031117397454,0.0101928560203,2162.0,0.029702970297,0.00950079701848,1934.0,0.02828854314,0.0123678184145
2,1250,2242.0,0.02828854314,0.00730169955771,2351.0,0.026874115983,0.00759805572394,2431.0,0.024045261669,0.00763173256101,2216.0,0.02828854314,0.00787308322669
2,1500,2518.0,0.024045261669,0.00899901214611,2564.0,0.022630834512,0.00799488112077,2646.0,0.019801980198,0.00753912125906,2464.0,0.024045261669,0.00956646685077
2,1750,2747.0,0.021216407355,0.00874980355178,2772.0,0.016973125884,0.00812285310164,2827.0,0.019801980198,0.00800891313621,2725.0,0.021216407355,0.00852978154958
2,2000,2889.0,0.019801980198,0.00856289710604,2886.0,0.018387553041,0.00834848791002,2910.0,0.019801980198,0.00828001167464,2874.0,0.021216407355,0.00890471700231
2,2500,2934.0,0.021216407355,0.00601861206529,2925.0,0.022630834512,0.00616229990346,2922.0,0.021216407355,0.00577108731281,2918.0,0.021216407355,0.00629588469051
3,1,20.0,0.0311614730878,0.0141541885876,20.0,0.0339943342776,0.0149472773056,20.0,0.0339943342776,0.0148545348262,20.0,0.0240793201133,0.0128085795225
3,5,239.0,0.0354107648725,0.0151490624578,219.0,0.042492917847,0.0163142452448,212.0,0.0354107648725,0.0173512747875,251.0,0.0339943342776,0.0145358379424
3,10,308.0,0.042492917847,0.016888124466,309.0,0.0396600566572,0.0160933495211,312.0,0.0382436260623,0.013848981519,317.0,0.0410764872521,0.016799316516
3,15,413.0,0.0339943342776,0.0174889833176,403.0,0.0368271954674,0.0160303970502,389.0,0.0368271954674,0.0147927065066,440.0,0.0382436260623,0.0192314177796
3,20,489.0,0.0325779036827,0.0172860740141,449.0,0.0410764872521,0.0172506632492,470.0,0.0325779036827,0.0158572777553,492.0,0.0368271954674,0.0161546157651
3,30,561.0,0.0453257790368,0.0156369441072,526.0,0.0396600566572,0.0164024911192,559.0,0.0382436260623,0.0180297000764,588.0,0.0410764872521,0.0156195197626
3,50,645.0,0.0453257790368,0.0167847025496,681.0,0.0495750708215,0.0194045370745,715.0,0.0467422096317,0.0184743019021,660.0,0.0481586402266,0.0188891137191
3,75,753.0,0.0453257790368,0.0170123431809,789.0,0.0495750708215,0.0199885336571,824.0,0.056657223796,0.0174726831242,756.0,0.0396600566572,0.0169409595755
3,100,814.0,0.0439093484419,0.0215898871352,863.0,0.0481586402266,0.0170477539458,919.0,0.0439093484419,0.0150681235667,800.0,0.0439093484419,0.0214774720086
3,125,839.0,0.0495750708215,0.0185642340033,885.0,0.0495750708215,0.0178104905796,975.0,0.0495750708215,0.0143503529835,843.0,0.0481586402266,0.0184602500112
3,150,863.0,0.056657223796,0.0187412878277,920.0,0.0509915014164,0.0179583164711,990.0,0.0509915014164,0.0191234992581,867.0,0.0594900849858,0.0230614011421
3,200,878.0,0.056657223796,0.0212745627052,937.0,0.0538243626062,0.0240410989703,1041.0,0.0439093484419,0.0171359998201,909.0,0.056657223796,0.0210137596115
3,300,997.0,0.0524079320113,0.0223233958361,1070.0,0.0453257790368,0.016067494042,1165.0,0.0368271954674,0.0112224020864,989.0,0.0524079320113,0.0224532353073
3,500,1235.0,0.0410764872521,0.0168375376591,1342.0,0.0396600566572,0.0155425154009,1456.0,0.0354107648725,0.0128912046405,1227.0,0.0467422096317,0.0169544493907
3,750,1583.0,0.0297450424929,0.0117479428032,1664.0,0.0325779036827,0.0105085660326,1809.0,0.0339943342776,0.0102174108548,1570.0,0.0325779036827,0.012417374882
3,1000,1899.0,0.028328611898,0.0123150771168,1997.0,0.0297450424929,0.0113370655155,2063.0,0.0254957507082,0.0114590359279,1865.0,0.0297450424929,0.0129996852376
3,1250,2150.0,0.0254957507082,0.0115023157516,2229.0,0.0240793201133,0.0110891901614,2296.0,0.0254957507082,0.00995435945861,2121.0,0.0297450424929,0.0105777013355
3,1500,2433.0,0.0254957507082,0.0108469355636,2499.0,0.0226628895184,0.00927874454787,2578.0,0.0198300283286,0.00858120868744,2409.0,0.0269121813031,0.0118834030307
3,1750,2701.0,0.0254957507082,0.0110104995728,2749.0,0.0198300283286,0.00994368002158,2793.0,0.0212464589235,0.00905335221907,2669.0,0.0269121813031,0.0100600296776
3,2000,2839.0,0.0240793201133,0.00987173434057,2820.0,0.0226628895184,0.00951537838932,2826.0,0.0198300283286,0.00858682944377,2834.0,0.0269121813031,0.0100369845766
3,2500,2782.0,0.0240793201133,0.00911799091686,2774.0,0.0212464589235,0.00775102297765,2766.0,0.0212464589235,0.00737105984981,2799.0,0.0240793201133,0.00939340797698
4,1,20.0,0.043847241867,0.016682382524,20.0,0.0509193776521,0.0186996250645,20.0,0.0509193776521,0.019970925664,20.0,0.035360678925,0.0157708628006
4,5,213.0,0.038189533239,0.0156367167329,196.0,0.045261669024,0.0180036370984,193.0,0.045261669024,0.0176225275589,220.0,0.026874115983,0.0127983206484
