,,CB,CB,CB,FM,FM,FM,HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),MP,MP,MP,PureSVD+CB,PureSVD+CB,PureSVD+CB,RND,RND,RND
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,topk,,,,,,,,,,,,,,,,,,,,,
1,1,2181.0,0.023322147651,0.023322147651,151.0,0.00335570469799,0.00335570469799,397.0,0.0186241610738,0.0186241610738,471.0,0.0209172259508,0.0209172259508,1.0,0.00335570469799,0.00335570469799,409.0,0.0197427293065,0.0197427293065,14747.0,0.0,0.0
1,3,4826.0,0.0480425055928,0.0341070096943,252.0,0.00922818791946,0.00581655480984,576.0,0.0401006711409,0.0279642058166,721.0,0.0427852348993,0.0303504847129,3.0,0.0101789709172,0.00621737509321,601.0,0.0389821029083,0.0279735272185,31453.0,0.000111856823266,5.59284116331e-05
1,10,9521.0,0.086129753915,0.0404850680018,412.0,0.023322147651,0.0081397588864,900.0,0.0713087248322,0.0333424993786,1134.0,0.0750559284116,0.0359005362025,10.0,0.0324944071588,0.00957518820354,855.0,0.0700782997763,0.0333555049537,44631.0,0.000111856823266,5.59284116331e-05
1,20,12993.0,0.108501118568,0.0420193511434,595.0,0.0397651006711,0.00924470651985,1259.0,0.0920022371365,0.034768949627,1600.0,0.0968120805369,0.0374204345483,20.0,0.0602348993289,0.011438942847,1101.0,0.0919463087248,0.0348807469487,45459.0,0.000223713646532,6.15212527964e-05
1,30,15210.0,0.12158836689,0.0425456203846,742.0,0.0526845637584,0.00976711090674,1609.0,0.105872483221,0.0353201401372,2023.0,0.110067114094,0.0379467531797,30.0,0.0831655480984,0.0123508812675,1333.0,0.106991051454,0.0354858388349,45473.0,0.000447427293065,7.0896896534e-05
2,1,2186.0,0.0210326117357,0.0210326117357,169.0,0.00453096157073,0.00453096157073,382.0,0.0186832242546,0.0186832242546,478.0,0.0218157408961,0.0218157408961,1.0,0.00290876545282,0.00290876545282,411.0,0.0189069754433,0.0189069754433,14715.0,0.0,0.0
2,3,4803.0,0.0473793142026,0.0324439223583,267.0,0.0106841192594,0.00700154761239,578.0,0.0391564580187,0.0275866569708,735.0,0.0429602282262,0.030942924801,3.0,0.0102925546792,0.00603195912812,610.0,0.0393242714102,0.0277358244299,31467.0,0.0,0.0
2,10,9603.0,0.0834032555798,0.0387275349811,462.0,0.0270179560329,0.00971606240527,901.0,0.0708172512166,0.0329815911373,1154.0,0.0744532080327,0.0362202342107,10.0,0.0334508027074,0.00948933674643,884.0,0.0692509928959,0.0327481840194,44464.0,0.000279688985848,4.0754680795e-05
2,20,13078.0,0.105218996476,0.040285918315,633.0,0.0424008502545,0.0107543822928,1271.0,0.0908429826033,0.0343863601219,1581.0,0.0948705039996,0.037615533138,20.0,0.0617553280752,0.0114249857606,1099.0,0.0902276668345,0.0341993447989,45359.0,0.000335626783017,4.44838672729e-05
2,30,15330.0,0.118755943391,0.0408309426061,770.0,0.0554902947922,0.0112839978611,1582.0,0.104827431896,0.0349424822762,2015.0,0.108127761929,0.0381505492744,30.0,0.0857526430609,0.0123886395066,1318.0,0.103540862561,0.0347404474503,45378.0,0.000615315768865,5.49584148622e-05
3,1,2214.0,0.0225606001232,0.0225606001232,156.0,0.0041986228517,0.0041986228517,399.0,0.0192576834798,0.0192576834798,480.0,0.0188098303756,0.0188098303756,1.0,0.00475843923193,0.00475843923193,417.0,0.019649554946,0.019649554946,14815.0,0.0,0.0
3,3,4874.0,0.0453451267984,0.0323480565041,242.0,0.00968482337793,0.00659650301368,576.0,0.0380115322174,0.0272350668981,737.0,0.0411465039467,0.0283267088395,3.0,0.0107484745004,0.00742689731102,620.0,0.0377876056653,0.0273563604471,31303.0,0.000111963276045,4.66513650189e-05
