,,CB,CB,CB,FM,FM,FM,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),MP,MP,MP,PureSVD+CB,PureSVD+CB,PureSVD+CB,RND,RND,RND
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,topk,,,,,,,,,,,,,,,,,,,,,
1,1,170,0.009915014,0.009915014,108,0.008498584,0.008498584,55,0.011331445,0.011331445,61,0.014164306,0.014164306,1,0.007082153,0.007082153,106,0.014164306,0.014164306,675,0,0
1,3,420,0.018413598,0.013692162,324,0.015580737,0.011803588,157,0.025495751,0.017233239,162,0.028328612,0.019830028,3,0.026912181,0.01605288,246,0.026912181,0.019830028,1789,0,0
1,10,1052,0.049575071,0.019583277,896,0.025495751,0.013516795,400,0.053824363,0.021589887,416,0.050991501,0.023716219,10,0.04815864,0.020521381,625,0.058073654,0.024789222,4133,0,0
1,20,1677,0.077903683,0.021701358,1466,0.033994334,0.014135078,654,0.065155807,0.022426098,681,0.07082153,0.025159515,20,0.063739377,0.021553654,1041,0.079320113,0.026174186,5430,0.001416431,8.85E-05
1,30,2129,0.089235127,0.022148083,1872,0.042492918,0.014448921,900,0.083569405,0.023160421,944,0.086402266,0.025757786,30,0.076487252,0.022083341,1363,0.089235127,0.026596569,5852,0.001416431,8.85E-05
2,1,178,0.007072136,0.007072136,113,0.008486563,0.008486563,56,0.008486563,0.008486563,57,0.007072136,0.007072136,1,0.004243281,0.004243281,99,0.008486563,0.008486563,671,0,0
2,3,426,0.016973126,0.011079679,342,0.012729844,0.010372466,145,0.014144272,0.010843942,156,0.015558699,0.010608204,3,0.031117397,0.015558699,240,0.016973126,0.012022631,1789,0.002828854,0.001178689
2,10,1111,0.046676096,0.015124268,930,0.018387553,0.011099324,368,0.052333805,0.016871534,386,0.04950495,0.015699019,10,0.046676096,0.018872499,618,0.042432815,0.015990885,4151,0.005657709,0.001815182
2,20,1739,0.076379066,0.017265827,1535,0.031117397,0.011916727,647,0.087694484,0.019176471,683,0.086280057,0.018075398,20,0.074964639,0.020705811,1017,0.084865629,0.01886576,5466,0.007072136,0.001885903
2,30,2232,0.086280057,0.017644949,1959,0.038189533,0.012198783,864,0.101838755,0.019735931,914,0.108910891,0.01897649,30,0.093352192,0.021438867,1348,0.096181047,0.019282075,5867,0.008486563,0.001938289
3,1,170,0.012747875,0.012747875,99,0.012747875,0.012747875,52,0.014164306,0.014164306,60,0.012747875,0.012747875,1,0.008498584,0.008498584,96,0.012747875,0.012747875,675,0,0
3,3,415,0.021246459,0.016761095,306,0.019830028,0.015580737,134,0.026912181,0.0200661,148,0.026912181,0.018885741,3,0.02407932,0.014872521,238,0.025495751,0.018177526,1789,0,0
3,10,1029,0.049575071,0.020784995,924,0.033994334,0.018035321,364,0.052407932,0.02399276,389,0.060906516,0.023712847,10,0.043909348,0.018971739,584,0.058073654,0.023416071,4133,0,0
3,20,1606,0.077903683,0.022815098,1542,0.041076487,0.018494107,611,0.084985836,0.026327267,649,0.086402266,0.025615722,20,0.066572238,0.020654184,961,0.083569405,0.025220427,5430,0.001416431,0.000108956
3,30,2054,0.09631728,0.023546027,1977,0.04815864,0.018788826,837,0.097733711,0.026822234,873,0.104815864,0.026365049,30,0.073654391,0.020958931,1293,0.09631728,0.025695092,5852,0.005665722,0.000279109
4,1,180,0.007072136,0.007072136,100,0.012729844,0.012729844,55,0.005657709,0.005657709,63,0.005657709,0.005657709,1,0.007072136,0.007072136,99,0.005657709,0.005657709,676,0,0
4,3,474,0.026874116,0.013672796,303,0.022630835,0.016973126,146,0.026874116,0.015322961,158,0.026874116,0.015087223,3,0.033946252,0.018859029,254,0.028288543,0.015087223,1791,0.001414427,0.000707214
4,10,1131,0.066478076,0.019625636,924,0.031117397,0.01824162,371,0.067892504,0.022014548,388,0.070721358,0.022579197,10,0.059405941,0.022982196,589,0.069306931,0.022454592,4138,0.001414427,0.000707214
4,20,1799,0.090523338,0.021310071,1473,0.045261669,0.019143288,617,0.087694484,0.023439883,642,0.089108911,0.023856393,20,0.077793494,0.024133944,986,0.096181047,0.024028009,5433,0.002828854,0.000816016
4,30,2279,0.111739745,0.022153362,1891,0.057991513,0.019640169,836,0.106082037,0.024182963,885,0.110325318,0.024675082,30,0.084865629,0.024409231,1327,0.123055163,0.025116605,5854,0.002828854,0.000816016
5,1,185,0.019830028,0.019830028,80,0.011331445,0.011331445,65,0.005665722,0.005665722,62,0.005665722,0.005665722,1,0.001416431,0.001416431,99,0.015580737,0.015580737,675,0,0
5,3,454,0.031161473,0.024315392,236,0.02266289,0.015816808,149,0.028328612,0.015580737,165,0.019830028,0.012275732,3,0.012747875,0.006373938,243,0.028328612,0.021482531,1789,0,0
5,10,1094,0.063739377,0.029195333,707,0.050991501,0.020632672,375,0.059490085,0.020773753,403,0.059490085,0.019258397,10,0.045325779,0.012121161,599,0.056657224,0.026117968,4133,0.002832861,0.000404694
5,20,1726,0.09631728,0.031550713,1186,0.076487252,0.022526365,635,0.087818697,0.022632897,679,0.086402266,0.021021837,20,0.062322946,0.013229137,1033,0.083569405,0.02806784,5430,0.007082153,0.000648635
5,30,2213,0.109065156,0.032049006,1561,0.090651558,0.023094397,866,0.110481586,0.023511876,932,0.120396601,0.022439871,30,0.077903683,0.013886785,1364,0.104815864,0.028941349,5852,0.014164306,0.00090627
