,,FM,FM,FM
,,COV,HR,MRR
fold,rank,,,
1,1,147.0,0.110099337748,0.0395337301587
1,5,345.0,0.158940397351,0.0679340113529
1,10,414.0,0.182947019868,0.0833054110165
1,15,453.0,0.180463576159,0.0798900189215
1,20,523.0,0.195364238411,0.0874126195732
1,30,630.0,0.202814569536,0.0862753600336
1,40,732.0,0.205298013245,0.08769512772
1,50,806.0,0.202814569536,0.0863236492169
1,60,913.0,0.185430463576,0.0750854094397
1,75,919.0,0.170529801325,0.0735799038158
1,100,950.0,0.167218543046,0.0731423446862
1,125,1033.0,0.158940397351,0.0619950988122
1,150,979.0,0.163907284768,0.0695755150846
1,200,1037.0,0.16142384106,0.0701024256281
1,300,991.0,0.163907284768,0.0699526306107
1,500,1023.0,0.144039735099,0.0554211999369
1,750,1027.0,0.154801324503,0.0596903579313
1,1000,1004.0,0.145695364238,0.0583655261221
1,1500,1016.0,0.149006622517,0.0610822033007
1,2000,1014.0,0.153145695364,0.0588812677389
1,3200,1090.0,0.14321192053,0.0566297435089
2,1,168.0,0.0919635459818,0.0390831919622
2,5,354.0,0.13835956918,0.0573868044871
2,10,436.0,0.163214581607,0.0711359661235
2,15,478.0,0.185584092792,0.0766655488486
2,20,537.0,0.19304059652,0.0785273733907
2,30,678.0,0.217895608948,0.0918560381899
2,40,750.0,0.207953603977,0.082034034271
2,50,811.0,0.225352112676,0.0924922081509
2,60,914.0,0.19884009942,0.0807738588393
2,75,1016.0,0.186412593206,0.0771974987178
2,100,964.0,0.164871582436,0.0653049013032
2,125,990.0,0.163214581607,0.0637018187557
2,150,1060.0,0.152444076222,0.0618232269434
2,200,1031.0,0.156586578293,0.059479425573
2,300,1033.0,0.156586578293,0.0588514748622
2,500,1068.0,0.149130074565,0.0580933312292
2,750,1062.0,0.154929577465,0.0555147880749
2,1000,1034.0,0.162386081193,0.0690943043884
2,1500,832.0,0.194697597349,0.0779017240699
2,2000,1080.0,0.148301574151,0.0605857366421
2,3200,916.0,0.197183098592,0.0763012716824
3,1,152.0,0.116915422886,0.0465177419779
3,5,314.0,0.169983416252,0.0740312985338
3,10,387.0,0.216417910448,0.0925804180157
3,15,438.0,0.2271973466,0.0986604675038
3,20,519.0,0.231343283582,0.0985357603517
3,30,603.0,0.23631840796,0.100456382111
3,40,702.0,0.218905472637,0.0936142699202
3,50,749.0,0.228026533997,0.0924701887388
3,60,846.0,0.213930348259,0.0947948748322
3,75,880.0,0.177446102819,0.0818006528206
3,100,909.0,0.166666666667,0.0734936428966
3,125,924.0,0.181592039801,0.0754876411593
3,150,918.0,0.161691542289,0.0710067387928
3,200,1016.0,0.164179104478,0.0738680933955
3,300,982.0,0.144278606965,0.0665771670747
3,500,991.0,0.144278606965,0.0585577403985
3,750,1050.0,0.147595356551,0.0588574982232
3,1000,1012.0,0.143449419569,0.057968754113
3,1500,997.0,0.140132669983,0.0591361973203
3,2000,1018.0,0.150912106136,0.0623071810261
3,3200,1048.0,0.162520729685,0.0707066519256
4,1,160.0,0.100248550124,0.0372164358701
4,5,379.0,0.151615575808,0.0614484291369
4,10,451.0,0.17729908865,0.0776354203653
4,15,506.0,0.192212096106,0.0838281321918
4,20,577.0,0.197183098592,0.088140937126
4,30,697.0,0.201325600663,0.0932930918846
4,40,783.0,0.202154101077,0.0864832787575
4,50,876.0,0.207125103563,0.0872930392814
4,60,929.0,0.180613090307,0.0791526939414
4,75,974.0,0.164043082022,0.0735156034245
4,100,857.0,0.186412593206,0.0815326600124
4,125,979.0,0.139188069594,0.0592272589787
4,150,995.0,0.135874067937,0.0564432345708
4,200,1029.0,0.128417564209,0.05871930932
4,300,929.0,0.172328086164,0.0743131994582
4,500,1093.0,0.125932062966,0.052788955958
4,750,1036.0,0.129246064623,0.0576889441222
4,1000,1070.0,0.125103562552,0.0572562827948
4,1500,1121.0,0.139188069594,0.0566230717639
4,2000,1035.0,0.130074565037,0.0539258426375
4,3200,1090.0,0.122618061309,0.0556436659171
5,1,133.0,0.0946058091286,0.0364354870579
5,5,330.0,0.15020746888,0.0622623987354
5,10,420.0,0.182572614108,0.0715629322268
5,15,474.0,0.193360995851,0.0765049726668
5,20,547.0,0.182572614108,0.0814565632615
5,30,664.0,0.199170124481,0.0831061055127
5,40,703.0,0.191701244813,0.0754910096819
5,50,841.0,0.190041493776,0.0787021668972
5,60,878.0,0.183402489627,0.0727830468287
5,75,812.0,0.167634854772,0.0714862016729
5,100,979.0,0.14356846473,0.0574191530001
5,125,958.0,0.148547717842,0.0563594151353
5,150,970.0,0.136099585062,0.0567858789436
5,200,1018.0,0.133609958506,0.0515135348745
5,300,1061.0,0.129460580913,0.0559411842192
5,500,1001.0,0.119502074689,0.0471708489758
5,750,909.0,0.185892116183,0.0731123625107
5,1000,881.0,0.166804979253,0.0680906276757
5,1500,1091.0,0.126970954357,0.0507722452743
5,2000,1012.0,0.132780082988,0.0505091220444
5,3200,740.0,0.198340248963,0.0822940130409
