,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD,PureSVD,PureSVD
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
1,1,33.0,0.0179243195397,0.0106705550111,34.0,0.0179243195397,0.0106060127082,44.0,0.0181456074353,0.0108199243406,34.0,0.0170391679575,0.0106349030724
1,5,175.0,0.0181456074353,0.00956824272823,159.0,0.0163753042709,0.0098060394033,161.0,0.0157114405842,0.00965877757756,236.0,0.0183668953308,0.00956411553336
1,10,388.0,0.0205797742863,0.0104226598805,323.0,0.0216862137641,0.0097833837378,321.0,0.0210223500775,0.00928241252981,542.0,0.0165965921664,0.0075184318767
1,15,609.0,0.0201371984952,0.00813083734637,469.0,0.0210223500775,0.0101610659754,438.0,0.0199159105997,0.00997771314766,842.0,0.0172604558531,0.00706935794898
1,20,811.0,0.0247842443018,0.0101298924822,693.0,0.0221287895552,0.0106479871583,662.0,0.0223500774508,0.010475259662,1093.0,0.0152688647931,0.00709561393341
1,30,1307.0,0.0214649258686,0.00905032367745,1088.0,0.0219075016597,0.0101083783812,1022.0,0.0216862137641,0.00998263065645,1599.0,0.0139411374198,0.00659745273045
1,50,2060.0,0.0221287895552,0.0089979873339,1745.0,0.0250055321974,0.0112880536149,1688.0,0.025669395884,0.0110593894562,2271.0,0.0154901526886,0.00669808603533
1,75,2659.0,0.0223500774508,0.00900580266037,2470.0,0.025669395884,0.0116393920554,2265.0,0.0269971232574,0.0125810949887,2760.0,0.0181456074353,0.00725306202735
1,100,3005.0,0.0225713653463,0.0095073007443,2948.0,0.0254481079885,0.0111169945591,2750.0,0.0267758353618,0.0124643919676,3043.0,0.0172604558531,0.00771109284608
1,125,3295.0,0.023235229033,0.00940596493816,3325.0,0.0247842443018,0.0108484634541,3251.0,0.0245629564063,0.01159162197,3216.0,0.0174817437486,0.00698944843114
1,150,3430.0,0.0250055321974,0.0101377078087,3612.0,0.0254481079885,0.0109249482783,3590.0,0.0252268200929,0.0110450759931,3394.0,0.0181456074353,0.00756971446836
1,200,3727.0,0.0238990927196,0.0106726625149,3998.0,0.0265545474663,0.0114024735069,4112.0,0.0269971232574,0.0118936096973,3530.0,0.0199159105997,0.00859044879293
1,300,4099.0,0.0281035627351,0.0124711535422,4590.0,0.0292100022129,0.0125034686,4915.0,0.0289887143173,0.0138037106116,3960.0,0.0214649258686,0.0107069972638
1,500,5132.0,0.0287674264218,0.0140400144715,5602.0,0.0303164416906,0.0147391788463,6112.0,0.0294312901084,0.0136452965785,4949.0,0.0223500774508,0.0106224336751
1,750,6208.0,0.031644169064,0.0164814697731,6738.0,0.0305377295862,0.0150724278795,7638.0,0.0307590174817,0.0139743306041,6171.0,0.0236778048241,0.0120983888134
1,1000,7284.0,0.0305377295862,0.0159641654109,7819.0,0.0331931843328,0.0161231063201,8899.0,0.0314228811684,0.0152948573396,7386.0,0.0238990927196,0.0120067123995
1,1250,8402.0,0.0309803053773,0.0153407833592,8868.0,0.0342996238106,0.0155820047278,10011.0,0.0312015932728,0.0150784869528,8655.0,0.0243416685107,0.0123965127838
1,1500,9373.0,0.0323080327506,0.0151865843335,9882.0,0.0342996238106,0.0161273213276,10904.0,0.0336357601239,0.0152326859784,9867.0,0.0227926532419,0.0113381068294
1,1750,10589.0,0.0342996238106,0.0167553574502,10828.0,0.0354060632883,0.0159466028796,11766.0,0.0338570480195,0.0159383484898,11127.0,0.0247842443018,0.012014527726
1,2000,11700.0,0.0354060632883,0.0172378880002,11697.0,0.0369550785572,0.0169451206019,12606.0,0.0345209117061,0.0158446523848,12294.0,0.025669395884,0.0122493387707
1,2500,13874.0,0.0351847753928,0.016633034419,13422.0,0.0371763664528,0.016844750735,14077.0,0.0351847753928,0.0156024650769,14600.0,0.0263332595707,0.0118105389238
1,3000,15868.0,0.0312015932728,0.0158573852201,15090.0,0.0385040938261,0.0171196921639,15381.0,0.0351847753928,0.0160638327766,16730.0,0.0234565169285,0.0104355683411
1,3200,16567.0,0.0314228811684,0.0152626300945,15775.0,0.0387253817216,0.0174506580681,15910.0,0.0356273511839,0.0160513633793,17451.0,0.0221287895552,0.00980735659315
2,1,34.0,0.0143329658214,0.00917239810294,34.0,0.0143329658214,0.00907159482683,45.0,0.0141124586549,0.00904009380305,48.0,0.0136714443219,0.00919199873996
2,5,177.0,0.0154355016538,0.00854237762727,166.0,0.0152149944873,0.00872412103393,161.0,0.0149944873208,0.00888442624385,249.0,0.0158765159868,0.00834260863478
2,10,401.0,0.018743109151,0.00919392380252,331.0,0.0169790518192,0.00895180343361,314.0,0.0176405733186,0.00901830559493,577.0,0.0141124586549,0.00781505398925
2,15,628.0,0.0163175303197,0.00798270943806,497.0,0.0176405733186,0.00919471132812,434.0,0.0169790518192,0.00970529042194,883.0,0.0180815876516,0.00786318055337
2,20,851.0,0.0171995589857,0.00882772440104,687.0,0.0160970231533,0.00886745069215,655.0,0.0167585446527,0.00871598326946,1140.0,0.0160970231533,0.00731900036751
2,30,1322.0,0.0185226019846,0.00912908419524,1094.0,0.0189636163175,0.0103682994697,1013.0,0.0198456449835,0.0102315325248,1656.0,0.0149944873208,0.00740247808054
2,50,2016.0,0.019184123484,0.00896230377487,1744.0,0.0183020948181,0.00830979506834,1657.0,0.0209481808159,0.00970424038781,2286.0,0.0180815876516,0.00809182548433
2,75,2576.0,0.0200661521499,0.00970634045606,2438.0,0.0211686879824,0.00947690799951,2271.0,0.0213891951488,0.00965278871563,2645.0,0.019625137817,0.00891723981029
2,100,2929.0,0.0220507166483,0.0103566615915,2909.0,0.0213891951488,0.00970765299872,2705.0,0.0220507166483,0.010485290772,2932.0,0.0194046306505,0.00875544705203
2,125,3213.0,0.0231532524807,0.00965900141755,3243.0,0.0242557883131,0.00981169388005,3188.0,0.0233737596472,0.0102340701073,3062.0,0.019625137817,0.0096908524527
2,150,3382.0,0.0249173098126,0.0102425578831,3499.0,0.0235942668137,0.0103465987645,3480.0,0.0253583241455,0.0105473302882,3294.0,0.0205071664829,0.0100315885266
2,200,3656.0,0.0242557883131,0.0103688244868,3905.0,0.025578831312,0.00994443569416,3966.0,0.0251378169791,0.0108015260496,3383.0,0.0205071664829,0.00897026653366
2,300,4028.0,0.0238147739802,0.0100212631911,4484.0,0.0262403528115,0.0101197913932,4681.0,0.0253583241455,0.00946973276631,3760.0,0.0207276736494,0.00871370819552
2,500,4977.0,0.0257993384785,0.0122483855725,5428.0,0.025578831312,0.0101065784638,5992.0,0.0251378169791,0.00945625732836,4671.0,0.0213891951488,0.00959083670219
2,750,6102.0,0.0275633958104,0.0133614217462,6581.0,0.0262403528115,0.0105314922735,7616.0,0.026019845645,0.00935029138447,5938.0,0.0224917309813,0.0115172993122
2,1000,7092.0,0.0284454244763,0.0130128979192,7636.0,0.0288864388093,0.0113209429306,8728.0,0.0262403528115,0.0100721898462,7191.0,0.0235942668137,0.0114046831522
2,1250,8185.0,0.0282249173098,0.0129057069355,8698.0,0.0269018743109,0.0108811536375,9838.0,0.0273428886439,0.0108669781768,8351.0,0.0244762954796,0.0120348786336
2,1500,9262.0,0.0269018743109,0.0123023748272,9650.0,0.0271223814774,0.0113177928283,10780.0,0.0280044101433,0.0108151764932,9673.0,0.0229327453142,0.0117711450622
2,1750,10277.0,0.0275633958104,0.012009415306,10557.0,0.0293274531422,0.011546000245,11621.0,0.0271223814774,0.0106728968691,10874.0,0.0220507166483,0.0113148177316
2,2000,11341.0,0.0293274531422,0.0126659491433,11422.0,0.0288864388093,0.0123429761467,12419.0,0.0264608599779,0.0106691342469,12026.0,0.0224917309813,0.0112555783063
2,2500,13401.0,0.0269018743109,0.012184245988,13134.0,0.0295479603087,0.0123821774208,13969.0,0.0273428886439,0.0110968481476,14265.0,0.0209481808159,0.0101726431109
2,3000,15528.0,0.0249173098126,0.0119804518647,14846.0,0.0297684674752,0.0124001155038,15264.0,0.0293274531422,0.0108412523407,16361.0,0.0207276736494,0.0101187413591
2,3200,16340.0,0.0251378169791,0.0116749794368,15442.0,0.0304299889746,0.0124834182111,15793.0,0.0293274531422,0.0108002135069,17219.0,0.0194046306505,0.00974536672442
3,1,39.0,0.0185433422699,0.0114849745379,35.0,0.0180965147453,0.0114011943771,34.0,0.0180965147453,0.0113906442827,36.0,0.017873100983,0.0115214122587
3,5,180.0,0.0201072386059,0.0108916868803,178.0,0.0201072386059,0.0116893272054,170.0,0.0187667560322,0.0115251358214,249.0,0.0174262734584,0.00922831822631
3,10,409.0,0.0203306523682,0.0103717179454,354.0,0.0218945487042,0.0107802459679,337.0,0.0216711349419,0.01100082273,552.0,0.0185433422699,0.00929374654241
3,15,642.0,0.0218945487042,0.0100062768628,518.0,0.0192135835567,0.00954251599359,476.0,0.0201072386059,0.00999173723705,887.0,0.0180965147453,0.00876588720087
3,20,843.0,0.0216711349419,0.0101700249656,706.0,0.0214477211796,0.0107325489028,676.0,0.0214477211796,0.0107076364952,1124.0,0.0189901697945,0.00813199497851
3,30,1321.0,0.0216711349419,0.00968401137637,1121.0,0.0212243074173,0.0112529611189,1036.0,0.021000893655,0.0107428330284,1592.0,0.0176496872207,0.00833413123963
3,50,2037.0,0.0221179624665,0.00991318779523,1734.0,0.0243521000894,0.0107748379364,1672.0,0.0250223413762,0.010913496319,2340.0,0.0205540661305,0.010108586181
3,75,2685.0,0.0239052725648,0.0119373874066,2467.0,0.0225647899911,0.0103473374754,2271.0,0.0232350312779,0.0110673149212,2834.0,0.0216711349419,0.0110971920791
3,100,3049.0,0.0268096514745,0.0126210157879,2996.0,0.0245755138517,0.0116520915784,2731.0,0.0227882037534,0.0112721995262,3155.0,0.0221179624665,0.010873512348
3,125,3313.0,0.0254691689008,0.0118497063705,3293.0,0.0254691689008,0.0116363994213,3191.0,0.0265862377122,0.0109297204136,3328.0,0.021000893655,0.0100549491468
3,150,3431.0,0.0256925826631,0.0111659006766,3538.0,0.0250223413762,0.0115551016355,3529.0,0.0243521000894,0.0108376065648,3474.0,0.0214477211796,0.00998242833028
3,200,3624.0,0.0247989276139,0.0114470296608,3918.0,0.0243521000894,0.0116497865157,4011.0,0.0259159964254,0.0122164772969,3524.0,0.0205540661305,0.00997772954878
3,300,4054.0,0.0261394101877,0.012613745975,4501.0,0.0252457551385,0.0119706335021,4824.0,0.0261394101877,0.0127305062627,3831.0,0.019436997319,0.00956964480758
3,500,4893.0,0.0250223413762,0.0119902265345,5444.0,0.027926720286,0.0125067378754,5980.0,0.0256925826631,0.0122064591401,4752.0,0.0216711349419,0.0107645538108
3,750,5938.0,0.0265862377122,0.0127487694512,6633.0,0.0261394101877,0.0124364334653,7560.0,0.0252457551385,0.0117224846447,5833.0,0.0214477211796,0.0106929195569
3,1000,6952.0,0.029490616622,0.0135648502773,7719.0,0.0285969615728,0.0139298480786,8775.0,0.02636282395,0.0122984843327,6946.0,0.0223413762288,0.0111447118317
3,1250,7912.0,0.0288203753351,0.0137014695661,8764.0,0.029490616622,0.0143944068542,9806.0,0.027926720286,0.013090273345,8162.0,0.0216711349419,0.0104450366682
