,,CB,CB,CB,FM,FM,FM,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),MP,MP,MP,PureSVD,PureSVD,PureSVD,RND,RND,RND,HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$)
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,topk,,,,,,,,,,,,,,,,,,,,,
1,1,220.0,0.0173841059603,0.0173841059603,186.0,0.046357615894,0.046357615894,247.0,0.0455298013245,0.0455298013245,25.0,0.0149006622517,0.0149006622517,235.0,0.0480132450331,0.0480132450331,1015.0,0.000827814569536,0.000827814569536,227.0,0.046357615894,0.046357615894
1,3,484.0,0.0264900662252,0.0212472406181,344.0,0.114238410596,0.0761589403974,371.0,0.104304635762,0.0703642384106,45.0,0.0413907284768,0.0262141280353,373.0,0.0993377483444,0.0693984547461,2282.0,0.000827814569536,0.000827814569536,364.0,0.10761589404,0.0728476821192
1,10,998.0,0.0364238410596,0.0229830232314,651.0,0.211092715232,0.0927405261221,600.0,0.216887417219,0.0894696730789,90.0,0.105132450331,0.0369100178703,598.0,0.226821192053,0.0906529223168,3415.0,0.00413907284768,0.00139348785872,597.0,0.219370860927,0.0908234126984
1,20,1310.0,0.0521523178808,0.0240654150822,996.0,0.302152317881,0.0990045066146,761.0,0.298013245033,0.0951098509283,142.0,0.151490066225,0.0400117852586,760.0,0.301324503311,0.0956345248821,3526.0,0.00745033112583,0.00162981172185,756.0,0.30380794702,0.0965967003794
1,30,1548.0,0.0620860927152,0.0244542185006,1346.0,0.368377483444,0.101618140752,907.0,0.35678807947,0.0974808663428,179.0,0.188741721854,0.0414799232748,907.0,0.368377483444,0.0983153048646,3532.0,0.00993377483444,0.00172961581514,892.0,0.364238410596,0.0990579216158
2,1,228.0,0.009942004971,0.009942004971,189.0,0.0447390223695,0.0447390223695,237.0,0.0521955260978,0.0521955260978,18.0,0.0173985086993,0.0173985086993,241.0,0.053024026512,0.053024026512,1012.0,0.0,0.0,232.0,0.0439105219553,0.0439105219553
2,3,493.0,0.0173985086993,0.0135321734328,354.0,0.0977630488815,0.067384700359,385.0,0.118475559238,0.0802264567799,38.0,0.0372825186413,0.0259596796465,388.0,0.116818558409,0.0809168737918,2283.0,0.00082850041425,0.00027616680475,379.0,0.111847555924,0.0735984534659
2,10,1011.0,0.036454018227,0.0164417879828,674.0,0.20463960232,0.0851971304954,604.0,0.235294117647,0.0989755526624,79.0,0.0836785418393,0.0334438000552,592.0,0.231151615576,0.0994450362305,3409.0,0.00248550124275,0.000451072447758,599.0,0.222866611433,0.0920776291737
2,20,1355.0,0.049710024855,0.0173533015885,1061.0,0.315658657829,0.0927359468472,783.0,0.316487158244,0.104375776601,130.0,0.137531068766,0.0370990761817,782.0,0.310687655344,0.104951378588,3526.0,0.00414250207125,0.000566584524745,774.0,0.304888152444,0.0976215333172
2,30,1607.0,0.0613090306545,0.0178296697836,1417.0,0.388566694283,0.0956258479597,920.0,0.383595691798,0.107080591507,166.0,0.170671085336,0.0384298400481,919.0,0.380281690141,0.107757866623,3532.0,0.006628003314,0.000669126755819,918.0,0.375310687655,0.100435409903
3,1,220.0,0.0132669983416,0.0132669983416,191.0,0.0489220563847,0.0489220563847,244.0,0.0572139303483,0.0572139303483,22.0,0.0182421227197,0.0182421227197,241.0,0.0563847429519,0.0563847429519,1005.0,0.0,0.0,221.0,0.0522388059701,0.0522388059701
3,3,445.0,0.0265339966833,0.0192095080155,332.0,0.115257048093,0.0773908236595,382.0,0.115257048093,0.082504145937,42.0,0.044776119403,0.0301271420674,383.0,0.120232172471,0.0840243228303,2254.0,0.000829187396352,0.000414593698176,366.0,0.111111111111,0.077943615257
